column,dtype,non_null,null
Figure panel,object,36,8
Division category,object,44,0
Group,object,44,0
Non-significant,int64,44,0
No statistical test,int64,44,0
Significant,int64,44,0
Total,int64,44,0
Total with statistical test,int64,44,0
Percentage with a statistical test that reported a significant effect,float64,44,0
