metric_code,unit_example
GHG_tCO2e,tCO2e
NOx,µg/m³
SOx,µg/m³
PM,µg/m³
Noise_dBA,dB(A)
Light_lux,lux
Water_quality,index
Biodiversity,index
Jobs,#
Skills,index
Health,DALY/indicator
Housing,index
Accessibility,min to key services
Heritage,index
Place_attachment,index
