column,dtype,non_null,null
From EU Taxonomy compass,int64,251,0
Activity code from Taxonomy,float64,235,16
Activity from Taxonomy,object,251,0
Sector from Taxonomy,object,235,16
NACE_code,object,247,4
NACE sector,object,231,20
Substantial contribution criteria,object,235,16
DNSH on Climate adaptation,object,88,163
DNSH on Water,object,65,186
DNSH on Circular economy,object,46,205
DNSH on Pollution prevention,object,67,184
DNSH on Biodiversity,object,68,183
