CTRY,MCA,UNLocode,Country/Port Name,Label using special characters,Nat. Stat. Group,Statistical Port,National Code,2024 list: modifications compared to 2023 list,TEN-T network,Port on an island (X: Island; O: Outer region),Sea ,Sea code,NUTS 3 code,2023 list: modifications compared to 2022 list,2022 list: modifications compared to 2021 list,2021 list: modifications compared to 2020 list,2020 list: modifications compared to 2019 list,2019 list: modifications compared to 2018 list,2018 list: modifications compared to 2017 list,2017 list: modifications compared to 2016 list,2016 list: modifications compared to 2015 list,2015 list: modifications compared to 2014 list,2014 list: modifications compared to 2013 list,2013 list: modifications compared to 2012 list,2012 list: modifications compared to 2011 list,2011 list: modifications compared to 2010 list,2010 list: modifications compared to 2009 list,2009 list: modifications compared to 2008 list,2008 list: modifications compared to 2007 list,2007 list: modifications compared to 2006 list,2006 list: modifications compared to 2005 list,2005 list: modifications compared to 2004 Excel list,2004 Excel list: modifications compared to 2004 official list,2004 official list: modifications compared to 2000 official list,2000 official list: modifications compared to 1998 official list,previous changes (partial coverage) and other comments,Coordinates from 2009 list or provided by country,Coordinates UNECE,Coordinates Antwerpen (March 2009),Coordinates GISCO     Longitude    (SIF January 2009),Coordinates GISCO     Latitude    (SIF January 2009),Label in Comm Dec 2008/861,Label in UNECE
AE,AE00,AE888,UNITED ARAB EMIRATES,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.UNITED ARAB EMIRATES
AG,AG00,AG888,ANTIGUA AND BARBUDA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANTIGUA AND BARBUDA
AI,AI00,AI888,ANGUILLA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANGUILLA
AL,AL00,AL888,ALBANIA,,,,,,,,Mediterranean sea,6,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ALBANIA
AO,AO00,AO888,ANGOLA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANGOLA
AQ,AQ00,AQ888,ANTARCTICA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANTARCTICA
AR,AR00,AR888,ARGENTINA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ARGENTINA
AS,AS00,AS888,AMERICAN SAMOA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.AMERICAN SAMOA
AT,AT00,AT888,.AUSTRIA,,,,,,,,Others - No sea,X,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,Transcoded into IT888,,,,,,,.AUSTRIA
AU,AU00,AU888,AUSTRALIA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.AUSTRALIA
AW,AW00,AW888,ARUBA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ARUBA
AZ,AZ00,AZ888,AZERBAIJAN,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,2007: reintroduced in the list (Caspian Sea),,2005: deleted: decision WG January 2003 (no sea),2004: New entry,,,,,,,,,,.AZERBAIJAN
BA,BA00,BA888,BOSNIA-HERCEGOVINA,,,,,,,,Mediterranean sea,6,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BOSNIA AND HERZEGOVINA
BB,BB00,BB888,BARBADOS,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BARBADOS
BD,BD00,BD888,BANGLADESH,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BANGLADESH
BE,BE00,BE001,Zeekanaal Brussel-Schelde ports,,,X,,,,,River Port,R,BEZZZ,,,,,,,,,,,,,,,,2008: New Entry - Statistical port,,,,,,,,,,,,,,
BE,BE00,BE88T,BE - Dropping areas on water’s edge,,,,,,,,North Sea,4,BEZZZ,,,,2020: New entry (Decision WG September 2018),,,,,,,,,,,,,,,,,,,,,,,,,,
BE,BE00,BE002,Other IWW ports (other than Zeekanaal Brussel-Schelde ports),,,X,,,,,River Port,R,BEZZZ,,,,,,,,,,,,,,,,2008: New Entry - Statistical port,,,,,,,,,,,,,,
BE,BE00,BE003,Antwerp-Bruges,,,X,,,Core,,North Sea,4,BE211,2023: New entry as stitistical port - Merging of Antwerpen and Zeebrugge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,BE00,BE888,Other - Belgium,,,,,,,,North Sea,4,BEZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other — Belgium ,.BELGIUM
BE,BE00,BE88P,BE - Offshore installations,,,,,,,,North Sea,4,BEZZZ,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,BE offshore installations ,
BE,BE00,BE88Q,BE - Aggregates extraction areas,,,,,,,,North Sea,4,BEZZZ,,,,,,,,,,,,,,,2009: new (WG April 2008),,,,,,,,,,,,,,,
BE,BE00,BE88R,BE - Ship to ship transfer,,,,,,,,North Sea,4,BEZZZ,,,,,,,,,,,2013: New entry (Decision WG June 2012),,,,,,,,,,,,,,,,,,,
BE,BE00,BEANR,Antwerpen,,BE003,,,,Core,,North Sea,4,BE211,2023: Becomes non-statistical (starting from reference year 2022),,,,,,,,,,,,,,,,,,,,,,,5113N 00425E,5113N 00425E,5113N 00425E,4.416976296,51.21582487,Antwerpen ,Antwerpen
BE,BE00,BEBGS,Brugge (Bruges),,BE003,,,,,,North Sea,4,,2023: Change of statistical port (from reference year 2022),,,,,,,,,,,,,"2010: Change in label replacing ""Bruges""",,,,,,"2004: Change in port name replacing ""Brugge""","2004: Change in port name replacing ""Bruges""",,,5113N 00314E,5113N 00314E,5113N 00314E,3.222455594,51.2245595,Brugge ,Brugge (Bruges)
BE,BE00,BEBRU,Bruxelles (Brussel),,,X,,,,,North Sea,4,BE100,,,,,,,,,,,,,,,,,,,,,,,,5050N 00420E,5050N 00420E,5050N 00420E,4.341258047,50.84308164,Bruxelles (Brussel) ,"Two labels: ""Bruxelles (Brussel)"" and ""Brussel (Bruxelles)"""
BE,BE00,BEGNE,Gent (Ghent),,,X,,,Core,,North Sea,4,BE234,,,,,,,,,,,,,,"2010: Change in label replacing ""Gent""",,,,,,,,"2000: Change in port name replacing ""Ghent""",,5103N 00343E,5103N 00343E,5103N 00343E,3.733333333,51.06666667,Gent ,Gent (Ghent)
BE,BE00,BEGNK,Genk,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5058N 00530E,5058N 00530E,5058N 00530E,5.500658035,50.96390915,,Genk
BE,BE00,BEGRB,Grimbergen,,BE001,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5056N 00423E ,5056N 00423E,5056N 00423E,4.370417118,50.93310928,,Grimbergen
BE,BE00,BEHBN,Hoboken,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5110N 00421E,5110N 00421E,5110N 00421E,4.333333333,51.16666667,,Hoboken
BE,BE00,BEHER,Herentals,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5111N 00450E,5111N 00450E,5111N 00450E,4.831936359,51.17548752,,Herentals
BE,BE00,BEHEX,Hemiksem,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5109N 00421E ,5109N 00421E,5109N 00421E,4.35,51.15,,Hemiksem
BE,BE00,BEHSS,Hasselt,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5056N 00520E,5056N 00520E,5056N 00520E,5.338479042,50.92985916,,Hasselt
BE,BE00,BEKPB,Kapelle-op-den-Bos,Kapelle op den Bos,BE001,,,,,,North Sea,4,,,,,,,,,,,,,,,,2009: Status in UNLOCODE is OK,2008: New Entry; Status to be changed in UNLOCODE,,,,,,,,5101N 00422E,5101N 00422E,5101N 00422E,4.355713367,51.01327515,,Kapelle-op-den-Bos
BE,BE00,BEKWA,Kwaadmechelen,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5106N 00508E ,5106N 00508E,5106N 00508E,5.146891117,51.1017189,,Kwaadmechelen
BE,BE00,BELAN,Lanaken,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5053N 00539E ,5053N 00539E,5053N 00539E,5.651977539,50.88960266,,Lanaken
BE,BE00,BELGG,Liege,Liège,,X,,,,,North Sea,4,BE332,,,,,,,,,,,,,,,,,,,,,,"2000: Change in port name replacing ""Liege""",,5038N 00534E,5038N 00534E,5038N 00534E,5.632936656,50.65347681,Liège ,Liège
BE,BE00,BELUM,Lummen,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5059N 00512E ,5059N 00512E,5059N 00512E,5.191951275,50.98630905,,Lummen
BE,BE00,BENIE,Nieuwpoort,,,X,,,,,North Sea,4,BE258,,,,,,,,,,,,,,,,,,,,,,,,5108N 00245E,5108N 00245E,5108N 00245E,2.747191541,51.14198664,Nieuwpoort ,Nieuwpoort
BE,BE00,BEOST,Oostende (Ostend),,,X,,,Core,,North Sea,4,BE255,,,,,,,,,,,,,,"2010: Change in label replacing ""Oostende""",,,,,,,,,,5113N 00255E,5113N 00255E,5113N 00255E,2.934862572,51.22997344,Oostende ,"Two labels: ""Ostend (Oostende)"" and ""Oostende (Ostend)"" "
BE,BE00,BERUI,Ruisbroek,,BE001,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5047N 00418E ,5047N 00418E,5047N 00418E,4.3,50.78333333,,Ruisbroek
BE,BE00,BETES,Tessenderlo,,BE002,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5104N 00505E,5104N 00505E,5104N 00505E,5.088269234,51.06779099,,Tessenderlo
BE,BE00,BEVIL,Vilvoorde,,BE001,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5056N 00426E ,5056N 00426E,5056N 00426E,4.416666667,50.93333333,,Vilvoorde
BE,BE00,BEWLB,Willebroek,,BE001,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5104N 00422E ,5104N 00422E,5104N 00422E,4.360176086,51.0605278,,Willebroek
BE,BE00,BEWTH,Wintham,,BE001,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5106N 00418E,5106N 00418E,5106N 00418E,4.297938347,51.10658646,,Wintham
BE,BE00,BEZEE,Zeebrugge,,BE003,,,,Core,,North Sea,4,BE251,2023: Becomes non-statistical (starting from reference year 2022),,,,,,,,,,,,,,,,,,,,,,,5120N 00312E,5120N 00312E,5120N 00312E,3.196211094,51.32871843,Zeebrugge ,Zeebrugge
BE,BE00,BEZEL,Zelzate,,BEGNE,,,,,,North Sea,4,,,,,,,,,,,,,,,,,,,,,,,,,5112N 00349E,5112N 00349E,5112N 00349E,3.8,51.2,Zelzate ,Zelzate
BE,BE00,BEZET,Zemst,,BE001,,,,,,North Sea,4,,,,,,,,,,,,,,,,,2008: New Entry,,,,,,,,5059N 00428E,5059N 00428E,5059N 00428E,4.4634552,50.98439407,,Zemst
BG,BG00,BG88T,BG - Dropping areas on water’s edge,,,,,,,,Black Sea,7,BGZZZ,,,,2020: New entry (Decision WG September 2018),,,,,,,,,,,,,,,,,,,,,,,,,,
BG,BG00,BG888,Other - Bulgaria,,,,,,,,Black Sea,7,BGZZZ,,,,,,,,,,,,,,,,,,,2005: new name. old name .BULGARIA,2004: New entry,,,,,,,,,Other — Bulgaria ,.BULGARIA
BG,BG00,BG88P,BG - Offshore installations,,,,,,,,Black Sea,7,BGZZZ,,,,,,,,,,,,,,,,,,,2005 :new entry (last minute),,,,,,,,,,BG offshore installations ,
BG,BG00,BG88Q,BG - Aggregates extraction areas,,,,,,,,Black Sea,7,BGZZZ,,,,,,,,,,,,,,,2009: new (WG April 2008),,,,,,,,,,,,,,,
BG,BG00,BG88R,BG - Ship to ship transfer,,,,,,,,Black Sea,7,BGZZZ,,,,,,,,,,,2013: New entry (Decision WG June 2012),,,,,,,,,,,,,,,,,,,
BG,BG00,BGAKH,Ahtopol,(Ахтопол),BGBOJ,,,,,,Black Sea,7,,,,,,,,,,,,,,,"2010: Change in label replacing ""Akhotopol""",,,,,2005: non-statistical port. Reference statistical port: BGBOJ. ,2004: New entry,,,,4206N 02757E,4206N 02757E,4206N 02757E,27.9487842,42.1005592,Akhotopol (Ахтопол) ,Akhtopol
BG,BG00,BGBAL,Balchik,(Балчик),BGVAR,,,,,,Black Sea,7,,,,,,,,,,,,,,,,,,,,"2005: non-statistical port. Reference statistical port: BGVAR - Change in port name replacing ""Baltchik""",2004: New entry,,,,4325N 02810E,4325N 02810E,4325N 02810E,28.16927372,43.4029623,Balchik (Балчик) ,Balchik
BG,BG00,BGBOJ,Burgas,(Бургас),,X,,,Core,,Black Sea,7,BG341,,,,,,,,,,,,,,,,,,,2005: Statistical port,2004: New entry,,,also known as Bourgas. Includes also Rosenenetz,,,4230N 02729E,27.46481486,42.48923399,Burgas (Бургас) ,Burgas
BG,BG00,BGLOM,Lom,(Лом),BG888,,,,,,River Port,R,BG312,,,,,,,2017: Changed to non-statistical port,,,,,,,,,2008: no maritime traffic for the time being,,,2005: Statistical port,2004: New entry,,,"Danube river port. Includes also Kozloui, Danube Dredging Fleet ""Budin"". 2008: Rarely visited by Sea-going vessels - No maritime traffic for the time being - UNECE list to be updated (status code to be updated - BG will ask)",,,4350N 02312E,23.2425,43.83111111,Lom (Лом) ,Lom
BG,BG00,BGNES,Nesebar,(Несебър),BGBOJ,,,,,,Black Sea,7,,,,,,,,,,,,,,,,,,,,2005: new entry (last minute). Non-statistical port. Reference statistical port: BGBOJ. ,,,,,4239N 02744E,4239N 02744E,4239N 02744E,27.72930751,42.65451837,Nesebar (Несебър) ,Nessebar
BG,BG00,BGORE,Oryahovo,(Оряхово),BGLOM,,,,,,River Port,R,,,,,,,,,,,,,,,"2010: Change in label replacing ""Orehovo""",,2008: no maritime traffic for the time being,,,2005: non-statistical port.  Reference statistical port: BGLOM. ,2004: New entry,,,Also known as Oriahovo - UNECE list to be updated (status code to be updated - BG will ask),,,,23.9572892,43.74388047,Orehovo (Оряхово) ,Orehovo
BG,BG00,BGPOR,Pomorie,(Поморие),BGBOJ,,,,,,Black Sea,7,,,,,,,,,,,,,,,,,,,,2005: new entry (last minute). Non-statistical port. Reference statistical port: BGBOJ,,,,Sea port - UNECE list to be updated (status code to be updated - BG will ask),,,,27.63333333,42.56666667,Pomorie (Поморие) ,Pomorie
BG,BG00,BGRDU,Ruse,(Русе),BG888,,,,,,River Port,R,BG323,,,,,,,2017: Changed to non-statistical port,,,,,,,,,2008: no maritime traffic for the time being,,,2005: Statistical port,2004: New entry,,,"Danube river port. Also known as Rousse. Includes also Belene, Nikopol. 2008: Rarely visited by Sea-going vessels - No maritime traffic for the time being",,4351N 02558E,4351N 02558E,25.95480905,43.85085099,Ruse (Русе) ,Ruse
BG,BG00,BGSLS,Silistra,(Силистра),BGRDU,,,,,,River Port,R,,,,,,,,,,,,,,,,,,,,2005: non-statistical port. Reference statistical port: BGRDU,2004: New entry,,,,,,,27.24912494,44.10461595,Silistra (Силистра) ,Silistra
BG,BG00,BGSOM,Somovit,(Сомовит),BGRDU,,,,,,River Port,R,,,,,,,,,,,,,,,,,,,,2005: non-statistical port. Reference statistical port: BGRDU,2004: New entry,,,,,,,24.7842523,43.69926225,Somovit (Сомовит) ,Somovit
BG,BG00,BGSOZ,Sozopol,(Созопол),BGBOJ,,,,,,Black Sea,7,,,,,,,,,,,,,,,,,,,,2005: new entry (last minute). Non-statistical port. Reference statistical port: BGBOJ,,,,,4225N 02742E,4225N 02742E,4225N 02742E,27.69114687,42.41868534,Sozopol (Созопол) ,Sozopol
BG,BG00,BGSVI,Svistov,(Свищов),BGRDU,,,,,,River Port,R,,,,,,,,,,,,,,,,,,,,2005: non-statistical port. Reference statistical port: BGRDU,2004: New entry,,,,,,,25.35766315,43.60817427,Svistov (Свищов) ,Svistov
BG,BG00,BGTRP,Tutrakan,(Тутракан),BGRDU,,,,,,River Port,R,,,,,,,,,,,,,,,"2010: Change in label replacing ""Toutracan""",,,,,2005: new entry (last minute). Non-statistical port. Reference statistical port: BGRDU.  ,,,,River port - UNECE list to be updated (status code to be updated - BG will ask),,,,26.60863639,44.04310536,Toutracan (Тутракан) ,Tutrakan
BG,BG00,BGTRV,Tsarevo,(Царево),BGBOJ,,,,,,Black Sea,7,,,,,,,,2017: Change of code (BGMIC wrongly used),,,,,,,"2010: Change in label replacing ""Tzarevo""",,,"2007: name simplified (deleted ""(ex-Michurin)"" )",,2005: new name. Old name Michurin. Non-statistical port. Reference Statistcal port: BGBOJ,2004: New entry,,,Also known as Michurin. NOT in UNLOCODE,,,4210N 02754E,27.8597032,42.1732502,Tzarevo (Царево) ,Michurin
BG,BG00,BGVAR,Varna,(Варна),,X,,,Comprehensive,,Black Sea,7,BG331,,,,,,,,,,,,,,,,,,,2005: Statistical port,2004: New entry,,,"includes also Power Plant Ezerovo, Petrol",,,4312N 02755E,27.90454102,43.19520553,Varna (Варна) ,Varna
BG,BG00,BGVID,Vidin,(Видин),BGLOM,,,,,,River Port,R,,,,,,,,,,,,,,,,,,,,2005: non-statistical port. Reference statistical port: BGLOM. ,2004: New entry,,,,,,,22.86666731,43.9833335,Vidin (Видин) ,Vidin
BH,BH00,BH888,BAHRAIN,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BAHRAIN
BJ,BJ00,BJ888,BENIN,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BENIN
BL,FR04,BL888,SAINT BARTHELEMY,,,,,,,,Non Short Sea Shipping,,,,,,,,,2017: Change of MCA code (previously BL00),,2015: New entry (formerly included in FRANCE (FR)),,,,,,,,,,,,,,,,,,,,,
BM,BM00,BM888,BERMUDA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BERMUDA
BN,BN00,BN888,BRUNEI DARUSSALAM,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BRUNEI DARUSSALAM
BQ,BQ00,BQ888,"BONAIRE, SINT EUSTATIUS and SABA",,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,2014: New entry (formerly AN Netherlands Antilles),,,,,,,,,,,,,,,,,,,,
BR,BR00,BR888,BRAZIL,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BRAZIL
BS,BS00,BS888,BAHAMAS,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BAHAMAS
BV,BV00,BV888,BOUVET ISLAND,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,
BY,BY00,BY888,BELARUS,,,,,,,,Others - No sea,X,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BELARUS
BZ,BZ00,BZ888,BELIZE,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.BELIZE
CA,CA09,CA888,Other CANADA unknown MCA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CANADA
CA,CA01,CA88A,OTHER CANADA: ATLANTIC,,,,,,,,Non Short Sea Shipping,,,,,,,,,2017: code changed into CA88A instead of CA888 (Decision WG June 2016),,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CANADA
CA,CA02,CA88L,"OTHER CANADA: GREAT LAKES, UPPER ST LA",,,,,,,,Non Short Sea Shipping,,,,,,,,,2017: code changed into CA88L instead of CA888 (Decision WG June 2016),,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CANADA
CA,CA03,CA88W,OTHER CANADA: WEST COAST,,,,,,,,Non Short Sea Shipping,,,,,,,,,2017: code changed into CA88W instead of CA888 (Decision WG June 2016),,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CANADA
CC,CC00,CC888,COCOS (KEELING) ISLANDS,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.COCOS (KEELING) ISLANDS
CD,CD00,CD888,"CONGO, Democratic Republic of",,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,"2011: Chnage in label replacing "".ZAIRE = CONGO DEM. (CD)""",,,,,,,2004: New entry,,,Formerly Zaire,,,,,,,".CONGO, THE DEMOCRATIC REPUBLIC OF THE"
CG,CG00,CG888,CONGO,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CONGO
CH,CH00,CH888,SWITZERLAND,,,,,,,,Others - No sea,X,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,Transcoded into IT888,,,,,,,.SWITZERLAND
CI,CI00,CI888,COTE D'IVOIRE,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CÔTE D'IVOIRE
CK,CK00,CK888,COOK ISLANDS,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.COOK ISLANDS
CL,CL00,CL888,CHILE,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CHILE
CM,CM00,CM888,CAMEROON,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CAMEROON
CN,CN00,CN888,CHINA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,China does not include Hong Kong,,,,,,,.CHINA
CO,CO09,CO888,COLOMBIA unknown MCA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.COLOMBIA
CO,CO01,CO88N,COLOMBIA: N COAST,,,,,,,,Non Short Sea Shipping,,,,,,,,,2017: code changed into CO88N instead of CO888 (Decision WG June 2016),,,,,,,,,,,,,2004: New entry,,,,,,,,,,.COLOMBIA
CO,CO02,CO88W,COLOMBIA: W COAST,,,,,,,,Non Short Sea Shipping,,,,,,,,,2017: code changed into CO88W instead of CO888 (Decision WG June 2016),,,,,,,,,,,,,2004: New entry,,,,,,,,,,.COLOMBIA
CR,CR00,CR888,COSTA RICA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.COSTA RICA
CU,CU00,CU888,CUBA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CUBA
CV,CV00,CV888,CAPE VERDE,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CAPE VERDE
CW,CW00,CW888,CURACAO,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,2014: New entry (formerly AN Netherlands Antilles),,,,,,,,,,,,,,,,,,,,
CX,CX00,CX888,CHRISTMAS ISLANDS,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.CHRISTMAS ISLAND
CY,CY00,CY888,Other - Cyprus,,,,,,,,Mediterranean sea,6,CY000,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,Other — Cyprus ,.CYPRUS
CY,CY00,CY88T,CY - Dropping areas on water’s edge,,,,,,,,Mediterranean sea,6,CY000,,,,2020: New entry (Decision WG September 2018),,,,,,,,,,,,,,,,,,,,,,,,,,
CY,CY00,CY88P,CY - Offshore installations,,,,,,,,Mediterranean sea,6,CY000,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,CY offshore installations ,
CY,CY00,CY88Q,CY - Aggregates extraction areas,,,,,,,,Mediterranean sea,6,CY000,,,,,,,,,,,,,,,2009: new (WG April 2008),,,,,,,,,,,,,,,
CY,CY00,CY88R,CY - Ship to ship transfer,,,,,,,,Mediterranean sea,6,CY000,,,,,,,,,,,2013: New entry (Decision WG June 2012),,,,,,,,,,,,,,,,,,,
CY,CY00,CYDHK,Dekeleia (Dhekelia),(Δεκέλεια),,X,,,,,Mediterranean sea,6,CY000,,,,,,,,,,,,,"2011: Change in port name replacing ""Dhekelia (Dekeleia)""",2010: Re-introduced as statistical port (data are provided),,,,,,2004: deleted,,,2011: Has Mooring Buoys in the sea for unloading oil products for the Republic’s Dekeleia power station which is located in the British Sovereign Basis of Dekeleia,3458N03345E,3459N 03345E,3459N 03345E,,,,Dhekelia
CY,CY00,CYLCA,Larnaka (Larnaca),(Λάρνακα) ,,X,,,Comprehensive,,Mediterranean sea,6,CY000,,,,,,,,,,,,,"2011: Change in port name replacing ""Larnaca (Larnaka)""",,,,,,,,2004: New entry,,,3456N03339E,,3455N 03338E,33.6413652,34.9186002,Larnaca (Λάρνακα) ,Larnaca
CY,CY00,CYLMS,Lemesos (Limassol),(Λεμεσός) ,,X,,,Core,,Mediterranean sea,6,CY000,,,,,,,,,,,,,"2011: Change in port name replacing ""Limassol (Lemesos)""",,,,,,,,2004: New entry,,,3439N03301E,3441N 03303E,3441N 03303E,33.01288415,34.65188377,Lemesos (Λεμεσός) ,Limassol
CY,CY00,CYMOI,Moni,(Μονή),,X,,,,,Mediterranean sea,6,CY000,,,,,,,,,,,,,"2011: It is under the jurisdiction of the Department of Fisheries of The Ministry of Agriculture and Natural Resources. It has a small jetty and although it is not used as a commercial port now, according to, and the purposes of, the Customs and Excuse Law of 1967; Change in port name replacing ""Zygi""",,,,,,,"2004: Change in port name replacing ""Moni Anchorage""",2004: New entry,,2011: It’s an oil terminal in the sea. It has ‘mooring buoys’. It is used for the discharge of oil for the adjacent power station - Not a port on UNECE,3442N03311E,3444N 03312E,3444N 03312E,33.18518117,34.70878411,Moni Anchorage (Μονή) ,Moni
CY,CY00,CYZYY,Zygi (Zyyi)  ,(Ζύγι),,X,,,,,Mediterranean sea,6,CY000,,,,"2020: Re-introduced in the list as statistical port, replacing CYVAS  Vasiliko",,,,,,,,,,,,,,,,2004: New entry - After SPC meeting - Not a port on UNECE,,,,,,3444N 03320E,33.33727646,34.73036957,,
CZ,CZ00,CZ888,.CZECH REPUBLIC,,,,,,,,Others - No sea,X,CZZZZ,,,,,,,,,,,,,,,,,,,,2004: New entry,,,Transcoded into DE01DE888,,,,,,,Prague = Praha
DE,DE01,DE017,Fohr Insel,Föhr Insel,DEWYK,,01303,2024: change to non-statistcal port,,X,North Sea,4,DEF02,,,,,,,,,,,,,,"2010: Label from ""Föhr I."" to ""Föhr Insel"" for clarity reasons; PROBABLY TO BE DELETED in the future (code already existst DEWYK !!!)",,,,,,,,"2000: Change in port name replacing ""Foehr I.""",,,,,,,Föhr I. ,
DE,DE01,DE69S,Wittdun,Wittdün,DEIAM,,,2024: change of statistical port (previously DEAMR),,X,North Sea,4,,,,,,,,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,UNECE list to be update (status code to be updated),,5438N 00824E,,,,,
