CTRY,MCA,UNLocode,Country/Port Name,Label using special characters,Nat. Stat. Group,Statistical Port,National Code,2024 list: modifications compared to 2023 list,TEN-T network,Port on an island (X: Island; O: Outer region),Sea ,Sea code,NUTS 3 code,2023 list: modifications compared to 2022 list,2022 list: modifications compared to 2021 list,2021 list: modifications compared to 2020 list,2020 list: modifications compared to 2019 list,2019 list: modifications compared to 2018 list,2018 list: modifications compared to 2017 list,2017 list: modifications compared to 2016 list,2016 list: modifications compared to 2015 list,2015 list: modifications compared to 2014 list,2014 list: modifications compared to 2013 list,2013 list: modifications compared to 2012 list,2012 list: modifications compared to 2011 list,2011 list: modifications compared to 2010 list,2010 list: modifications compared to 2009 list,2009 list: modifications compared to 2008 list,2008 list: modifications compared to 2007 list,2007 list: modifications compared to 2006 list,2006 list: modifications compared to 2005 list,2005 list: modifications compared to 2004 Excel list,2004 Excel list: modifications compared to 2004 official list,2004 official list: modifications compared to 2000 official list,2000 official list: modifications compared to 1998 official list,previous changes (partial coverage) and other comments,Coordinates from 2009 list or provided by country,Coordinates UNECE,Coordinates Antwerpen (March 2009),Coordinates GISCO     Longitude    (SIF January 2009),Coordinates GISCO     Latitude    (SIF January 2009),Label in Comm Dec 2008/861,Label in UNECE
NO,NO00,NOLAR,Larvik,,,X,,,,,North Sea,4,NO091,,,,,,,,,,,,,,,,,,,,2004: Re-introduced,,2000: Deleted ,,5902N 01002E,,5903N 01002E,10.03333333,59.05,,Larvik
NO,NO00,NOLEA,Leirvik in Hyllestad,,NOFRO,,,,,,North Sea,4,NO0A2,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,5.3299,61.1244,,
NO,NO00,NOLEF,Leirfjord,,NO88N,,,,,,North Sea,4,NO071,,,,,2019: Change of statistical port (previously NO88A),,2017: Becomes a non-statistical port,,,,,,,,,,,,,2004: New entry,,,,6603N 01256E,,,,,,Leirfjord
NO,NO00,NOLEV,Levanger,,NOTRD,,,,,,North Sea,4,NO060,,,,,,,,,"2015: Change of ref stat port (previously NOVER, until 2012)",,,,2011: Re-introduced as non statistical port,,,,,,,2004: Re-grouped with Verdal under code NOVER - All Norwegian ports deleted from 2000 list,,,,6345N 01117E,,,,,,
NO,NO00,NOLFF,Listraumen,,NOFRO,,,,,,North Sea,4,NO0A2,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,5.201666667,61.14166667,,
NO,NO00,NOLGS,Langstein,,NOTRD,,,,,,North Sea,4,NO060,,,,,2019: New entry as non-statistical port - Ex NOFRT - Frosta,,,,,,,,,,,,,,,,,,,,,,10.88874,63.54547,,
NO,NO00,NOLIA,Liavag,Liavåg,NOHRI,,,,,,North Sea,4,NO0A3,,,,,2019: New entry as non-statistical port,"2018: Previously minor port, now ref nat stat port NOHRI",,,,,,,,,,,,,,,,,,,,,6.06633,62.34773,,
NO,NO00,NOLID,Liland,,NOSVJ,,,,,,North Sea,4,NO071,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,14.759533,68.331167,,
NO,NO00,NOLIL,Lillesand,,,X,,,,,North Sea,4,NO092,,,,,,,,,,,,,,2010: Becomes statistical port,,,,,,2004: Re-introduced,,2000: Deleted ,,5814N 00822E,,5815N 00823E,8.371335983,58.24252319,,Lillesand
NO,NO00,NOLIT,Litangen,,NOKRA,,,,,,North Sea,4,NO091,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,9.298385,58.8467,,
NO,NO00,NOLKA,Skei - Leka,,,X,,,,,North Sea,4,NO060,,,,,2019: Change of port name (previsouly Leka),,,,,,,,,,,,,,,2004: New entry,,,UNLOCODE port name to be updated,6505N 01144E,,,,,,Leka
NO,NO00,NOLKN,Leknes,,NOSUZ,,,,,,North Sea,4,NO071,,,,,2019: Change of statistical port (previously NOVVY),,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,,6809N 01336E,,,,,
