"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The Ethics of Blue Urbanism","https://scispace.com/paper/the-ethics-of-blue-urbanism-2lf7v2vaie","2021","Book Chapter","","Timothy Beatley","10.1007/978-3-030-49540-4_6","","… of coastal protection is covered by the general public (through Congressional appropriations to the US Army Corps of Engineers), even though coastal communities and coastal property …","Blue urbanism represents a compelling new vision (and movement) for how we think about cities and urbanization on the blue planet. It emphasizes a new connection with, and emphasis on, the marine environments and nature within which coastal cities are situated. It advocates for new forms of urban design, parks, and conservation that recognize this profound marine setting. Advancing this vision will require taking on a host of ethical and value dilemmas: this chapter is an initial effort to identify and sort through some of the bigger of these open ethical questions. They include important questions about the moral status of marine nature and the extent of ethical duties that blue cities have both to protect the marine nature and wildness and to invest in programs to connect urbanites to this marine nature. Other important categories of ethical questions include the extent to which there are public rights to the blue; questions about the fairness of risk associated with climate change and sea-level rise, and forms of ethical adaptation; intergenerational and intertemporal ethics; virtue ethics and blue citizenship; and questions about the ethics of the politics and decision-making processes through which blue urbanism emerges, among others. Less a definitive treatise than an exploratory discussion, the chapter is meant to show how ethical quandaries permeate the new vision and agenda of blue urbanism. The author begins as well to identify here some of the elements of an ethical blue urbanism to guide this emerging movement."
"Supporting places left to the sea: A place-based research agenda for regional coastal transformations in the blue economy","https://scispace.com/paper/supporting-places-left-to-the-sea-a-place-based-research-307kdr31of","2023","Journal Article","Progress in environmental geography","Jack L. Harris
Benjamin S Thompson","10.1177/27539687231212672","https://journals.sagepub.com/doi/pdf/10.1177/27539687231212672","… that will (re)shape the coastal regions and the communities that are central to it, over the … argue that supporting the fortunes of coastal regions and communities will require a holistic …","The blue economy purportedly involves equitable and sustainable development across a range of ocean sectors spanning fisheries, aquaculture, tourism, shipping, seabed mining, oil and gas extraction, and renewable energy. Here, we argue that blue economy scholarship and policy gives insufficient attention to coastal regions – and the cities, towns, and villages within – that depend on these sectors. Rather than prioritising the profitability of corporations and expansion of industry, we advise actors to consider three transformative processes that are (re)shaping coastal regions. First, are techno-industrial processes for which we draw on the fourth industrial revolution literature, highlighting that coastal regions must adapt to rapidly changing technological innovations or risk facing decline. Second, are socio-cultural processes for which we draw on the left-behind places literature, which exemplifies spatial inequalities from declining and deindustrialised coastal regions. Third, are physical-environmental processes, highlighting geographically variable opportunities and challenges around natural resources, marine biodiversity, and climate change in coastal regions. We then promote place-based policymaking as a multi-level and participatory mode of managing these transformations. Finally, we present a blue economy research agenda to help navigate these transformative processes, and enable place-based solutions. The article intersects with broader literatures around ocean governance and sustainable transformations."
"Patterns of injustices in water allocation mechanisms in the Brazilian Amazon: Palm oil expansion and the reshaping of hydrosocial territories","https://scispace.com/paper/patterns-of-injustices-in-water-allocation-mechanisms-in-the-23nvfrgz","2023","Journal Article","Environmental Science & Policy","Susane Cristini Gomes Ferreira
Diana Córdoba
Daniel Sombra","10.1016/j.envsci.2023.05.020","","… water governance and the distribution of water use permits are reconfiguring hydrosocial … benefiting agribusiness interests at the expense of local communities. This, in turn, has adverse …",""
"Hydrosocial geographies: Cycles, spaces and spheres of concern","https://scispace.com/paper/hydrosocial-geographies-cycles-spaces-and-spheres-of-concern-kxavlz8ylf","2023","Journal Article","Progress in environmental geography","Jeremy J. Schmidt","10.1177/27539687231201667","https://journals.sagepub.com/doi/pdf/10.1177/27539687231201667","… contemporary hydrosocial spaces. These accounts are the focus of the section on ‘Hydrosocial … citizenship (amongst others) not only confront society/nature dualisms but also show how …","Over recent decades, hydrosocial scholarship focusing on the plural, often contested relations of waters and societies has advanced significantly. This article reviews hydrosocial scholarship in three steps that are contextualized by geography's long-standing efforts to use water to ‘think geography’. The article begins by revisiting critiques of the hydrological cycle as circulating free of anthropogenic forces and wholly on the ‘nature’ side of the society/nature dualism. We consider how this critique shapes engagement with other fields where human–water relations are crucial, such as socio-hydrology and those focused on climate change. The article then examines the extension of hydrosocial scholarship from critiques of the hydrological cycle to its use in explaining social spaces, such as territory, urban processes and citizenship. Finally, we consider how hydrosocial scholarship from Black, Indigenous and anti-colonial praxis challenges epistemologies and ontologies that, even in their critiques, recentre Eurocentric notions of water."
"The urban hydrosocial cycle: why should engineers care?","https://scispace.com/paper/the-urban-hydrosocial-cycle-why-should-engineers-care-1scgq65yfi","2023","Journal Article","Open research Europe","Lucia Alexandra Popartan
Manel Poch
Josep Pueyo-Ros
Ignasi Rodríguez-Roda","10.12688/openreseurope.16223.1","https://open-research-europe.ec.europa.eu/articles/3-174/pdf","… about the importance of the governance of water that cannot be … have explored the concept of hydrosocial cycle, aiming to … how the concept of urban hydrosocial cycle can form the …","The research in urban water management, especially in the Global North, has so far been predominantly driven by the pursuit of technological innovation, with the overarching goal of managing demand and supply of the resource, seeking cost efficiency, quality and sustainability standards. Thus, the urban water cycle has been envisioned and shaped by technical knowledge and interventions. However, in recent years, the complex challenges faced by cities and their water systems increased the awareness about the importance of the governance of water that cannot be treated simply a resource to be exploited. Critical scholars, coming especially from social sciences have explored the concept of hydrosocial cycle, aiming to capture the human and socio-political dimension of the water cycle. While interdisciplinarity remains a desiderate in the water sector, in practice, the interaction between disciplines has so far been scarce, given the differences in worldviews, epistemological and methodological postures. In this piece, we explore how the concept of urban hydrosocial cycle can form the basis for a critical research agenda which informs not only a reimagining of water management but also the planning and technological processes. We illustrate this in two different relevant research topics, taking a critical perspective to nature-based solutions and digitalisation."
"To be, to do, to share: the triple-loop of water governance to improve urban water resilience—testing the Benidorm'experience, Spain","https://scispace.com/paper/92M8oWyjGN8J","","","","S Ricart
AM Rico-Amorós","","https://www.mdpi.com/2073-445X/11/1/121/pdf","… by inland irrigation and coastal tourism development, being the … A triple-loop analysis on water governance has been … stresses significantly impact the hydrosocial cycle and disrupt the …",""
"Can agriculture and conservation be compatible in a coastal wetland? Balancing stakeholders' narratives and interactions in the management of El Hondo Natural …","https://scispace.com/paper/Jt66kWb14wIJ","","","","S Ricart
AM Rico-Amorós","","https://link.springer.com/content/pdf/10.1007/s10460-021-10271-5.pdf","… of coastal wetlands has been used to justify their consideration as ‘hydrosocial territories’: … Although there is no unified model nor policy for efficient coastal wetland governance, some …",""
"Coastal waterfront transformations, fishing structures, and sustainable tourism","https://scispace.com/paper/coastal-waterfront-transformations-fishing-structures-and-4u6kpvs10w","2024","Journal Article","Sustainability","Carlos J. L. Balsas","10.3390/su16156313","","… depend on the image and experience of coastal places. How has fishing evolved over time? … of the areas in terms of public spaces and other coastal amenities, and the impacts of mixed-…","Fishing is a socioeconomic activity with highly visible impacts on the water–land interface of cities. Tourism, the number and type of visitors, and attractions depend on the image and experience of coastal places. How has fishing evolved over time? How has planning attempted to influence and adapt the land use and built-up structures, leading to the activity’s development and commercialization? It utilizes three pairwise cases to analyze the land use transformations associated with fishing activities in cities and some of their most important structures, with impacts on tourism activities such as fish markets, waterfront and pier restaurants, festival marketplaces, and recreational facilities. The three pairwise cases are in three different regions of the world (i.e., North America, Southern Europe, and the Pacific Rim). New Bedford, Massachusetts (USA) and Figueira da Foz (Portugal) are utilized to analyze the land use transformations associated with fishing activities in cities. Fish markets in Tokyo (Japan) and Sydney (Australia) are analyzed to study built-up structures where fish are commercialized. Finally, the last pairwise waterfronts consisting of San Francisco (California, USA) and Fremantle (Western Australia) are examined to understand their fish consumption. The research design and methods comprised in loco visits to the six case studies; discussions with stakeholders; visual documentation and analysis; and a distillation of implications for public policy. The findings demonstrate that more attention needs to be paid to land use changes, the co-existence of working harbor operations with recreational uses, the accessibility to those areas, the “publicness” of the areas in terms of public spaces and other coastal amenities, and the impacts of mixed-use developments on adjacent residential areas. Many waterfronts have suffered radical changes and ought to be made more accessible, authentic, and livable not through the effects of nature or markets alone but with planning and urban design interventions. "
"Post-crisis risk management: water, community, and adaptation in a South Australian irrigation district","https://scispace.com/paper/post-crisis-risk-management-water-community-and-adaptation-34a9xlqt2z","","Journal Article","Ecology and Society","William Skinner
Douglas Bardsley
Georgina Drew","10.5751/es-14789-290110","","… Here, we contribute to the field of hydrosocial inquiry by … Here, we emphasize two moments of hydrosocial crisis experienced … , a broad, shallow, coastal lake fed by the Murray River and …","Farmers in the Langhorne Creek–Angas Bremer basin irrigation district of South Australia have faced a series of hydrosocial crises relating to drought and groundwater depletion and degradation. The crises have been negotiated through concerted community engagement and cooperation. Adaptation responses have included a combination of infrastructural development and changes to the licensing, regulation, and oversight of irrigation governance, easing extraction pressures on the local groundwater catchment. However, new risks have emerged in the wake of, and as a result of, these solutions. One aspect of the solution has been to connect the Angas Bremer basin district more intimately to the much larger continental riverine system, the Murray-Darling basin, which stretches across multiple regional and state jurisdictions. The very success of that scalar response to hydrological risk generates broader systemic risks: to water supply and quality from climate change and upstream extraction; to basin governance; and to community cohesion, engagement, flexibility, and resilience. In a post-crisis period, there is a need to understand the emergent risks from transformational adaptation and guard against complacency to ensure that the hydrosocial qualities of flexibility and resilience that enabled positive responses to the initial crises endure to respond to future crises in water supply and its management. "
"Assembling modern water: The hydrosocial politics of water and development in the Mahaweli Development Project, Sri Lanka","https://scispace.com/paper/SQUBE1VILHEJ","","","","K Paranage","","https://scholar.archive.org/work/d45geadtsfg6ji4vn4bbjil3zi/access/wayback/https://au-east.erc.monash.edu.au/fpfiles/27537194/Ph.D.ThesisKavindraR.ParanageFINAL.pdf","… project from a political ecological perspective grounded in a hydrosocial approach. I demonstrate how looking at water and its governance as a contextually defined phenomenon and …",""
"Water and power in the Peruvian Andes","https://scispace.com/paper/water-and-power-in-the-peruvian-andes-4p18ifynxd","2018","Book Chapter","","Barbara Deutsch Lynch","10.4324/9781315621715-4","","… hydrosocial … coastal rivers used for irrigation and drinking water, provoked mobilization by livestock-producing and farming communities, urban water users in Huaraz and in coastal …",""
"The Vital Machine: Water Scarcity and Hydrosocial Assemblage in Punjab","https://scispace.com/paper/zYQ8AsfTCu4J","","","","A Aijaz","","","… Those colonial stories of nature and society continue to govern hydrosocial relations and … As global climate crisis challenges the existing hydrosocial relations in the canal colonies of …",""
"Waterscape Epistemologies, Waves of Knowing and Translanguaging as Wet Ontology","https://scispace.com/paper/kSd21X0VtFIJ","","","","S Makoni
A Pennycook","","","… veins of ocean currents” (2016, p. 1). In the ocean, Indigenous Hawaiian communities are able … A hydrosocial understanding of water suggests that we have to account for the social and …",""
"When hydrosociality encounters sediments: Transformed lives and livelihoods in the lower basin of the Ganges River","https://scispace.com/paper/when-hydrosociality-encounters-sediments-transformed-lives-edspssbq0r","2018","Journal Article","","Flore Lafaye de Micheaux
Flore Lafaye de Micheaux
Jenia Mukherjee
Christian A. Kull","10.1177/2514848618813768","https://www.academia.edu/download/83365019/REF.pdf","… This article aims to advance the hydrosocial framework with a … The river finally merges with the Indian Ocean near Sagar … rulers on water-sediment-society dynamics. At the end of each …","The hydrosocial cycle is a central analytical framework in political ecological approaches to water. It helps foreground multiple and subtle interactions between water and society, culture and poli..."
"Indus River Delta: contested narratives in the climate of change","https://scispace.com/paper/indus-river-delta-contested-narratives-in-the-climate-of-7scz4w8li4","2023","Journal Article","Asian journal of social science","Hameed Jamali
Maryam Jamali
Shakeel Hayat
Javed Iqbal","10.1016/j.ajss.2023.06.001","","… Conversely, fishing communities advance a highly political discourse about the delta and … such as those of the indigenous fishing communities remain marginal. It explores the …","The Indus River delta is characterised by extreme issues: loss of 0.5 million hectares of fertile land and local livelihoods, environmental degradation including salinity and waterlogging, and significant reduction of freshwater flows into the delta where climatic changes further exacerbate existing complexities. These concerns and local people's marginality are typically conceptualised through different but singular lens of either biodiversity conservation, techno-managerial water management solutions, or lately climate change by different actors. Conversely, fishing communities advance a highly political discourse about the delta and situate their marginality in the historical socio-political processes and large-scale projects for taming the Indus River waters for agriculture development by the Pakistani state that reorganised their social space. This paper aims to understand how knowledge(s) about the Indus Delta are produced, legitimized, mobilized, and deployed to “solve” the “problems,” whereas other discourses such as those of the indigenous fishing communities remain marginal. It explores the consequences of this for people living in the delta. "
