From EU Taxonomy compass,NACE,NACE sector,TAC NACE 2021,TAC rationale,"TAC is country dependent (0 = no, 1 = yes)",TEC NACE 2021,TEC rationale,"TEC is country dependent (0 = no, 1 = yes)"
1.0,C.24.2,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.31,Cold drawing of bars,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.32,Cold rolling of narrow strip,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.33,Cold forming or folding,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.34,Cold drawing of wire,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.42,Aluminium production,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.51,Casting of iron,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.52,Casting of steel,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.24.53,Casting of light metals,0.05,"The threshold corresponds to the avg value of the top 10% installations (ETS approach). Assuming installations are uniformly distributed, 5% would then meet the requirements.",1.0,0.5,"The Climate DA contains DNSH criteria for this activity in Annex 2. The SH threshold corresponds to the median emission level of existing installations, hence TEC=0.5.",0
1.0,C.25,"Manufacture of fabricated metal products, except machinery and equipment",0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.25.11 ,Manufacture of metal structures and parts of structures,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.25.12 ,Manufacture of doors and windows of metal,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.25.21,Manufacture of central heating radiators and boilers,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.25.29,"Manufacture of other tanks, reservoirs and containers of metal",0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.25.93,"Manufacture of wire products, chain and springs",0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
