"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"How can maritime spatial planning contribute to sustainable Blue Growth in the Baltic Sea","https://scispace.com/paper/how-can-maritime-spatial-planning-contribute-to-sustainable-r6gn3lxbz1","2015","","","Hanna Tarvainen
Harri Tolvanen
Sari Repka","10.5604/12307424.1178822","https://scispace.com/pdf/how-can-maritime-spatial-planning-contribute-to-sustainable-r6gn3lxbz1.pdf","The sea and the coasts are drivers of Europe’s economy as many of the economic activities as well as large part of trade depend on the sea. At the European level there is strong political pressure to enhance the growth of maritime economy sectors. The European Union has developed the Integrated Maritime Policy to support the sustainable development of the seas and oceans. The aim is to reach a good environmental status of European seas by 2020. The value of this study is to provide fresh insight into the topic by examining the empirical relationship between the sustainable Blue Growth and Marine Spatial planning. The purpose is to make a relatively short introduction to questions like what is the potential of sustainable Blue Growth, how can maritime spatial planning (MSP) contribute to sustainable Blue Growth, and what are the cross-border elements of MSP. The experiences of previous MSP projects, EU policy reports and scientific articles with MSP in their focus are used as a source to answer these questions. So far there have been only recommendations towards sustainable Blue Growth, and each country remains responsible for designing and determining the format and content of maritime plans. MSP processes should be developed both at national and inter-","geographical location (i.e. Baltic Sea) were read and cited if found important enough. Other important sources of information were the European Union's official strategy documents and directives related to MSP and Blue Growth. The synopsis was written during November 2014. Blue economy and its future potential:
 The seas and coasts are becoming increasingly crowded places as growth continues in many sectors. The direct and indirect social, economic and environmental benefits provided to civil society by maritime and coastal ecosystems are varied. Direct uses range from raw materials to recreation and cultural values, whereas the indirect uses are important from the point of view of the ecological equilibrium of the environment (Table ).  The extent of Blue Economy can also be approached by its socioeconomic functions serving (1) maritime trade and transport, (2) food and nutrition, (3) energy and raw materials, (4) living, working and leisure in coastal regions and at sea, (5) coastal protection and nature development, and (6) maritime security . Under these functions there are sectors like offshore wind, transport, fisheries, offshore oil and gas, cruise tourism and monitoring Tab. I. Direct and indirect uses of seas  Fig. . Employment and economic size of marine and maritime economic activities.  and surveillance. The individual sectors of the Blue Economy are interdependent and they rely on common skills and shared infrastructure such as ports and electricity distribution networks. They also depend on others using the sea sustainably . Blue economy and its future potential:
 When analysing the maritime economic sectors and their future potential there are several approaches to apprehend. Statistics give us one starting point. Figure I describes the marine economic sectors in the European Union economies. Their gross value added (GVA) and employment represent value chains including relevant upstream and downstream activities . Blue economy and its future potential:
 At the European Union level, coastal tourism, shipping & yachting and fisheries are the biggest employers, and their GVA is remarkable. In the central Baltic Sea region, it is noticeable that at the moment the most important sectors calculated both by value and number of jobs are transport, coastal & maritime tourism, ship building & ship repair and fisheries (Fig. ). The transport sector is the biggest according to annual income (2.3 billion euros), and the tourism sector is the most important employer with over 45,000 jobs. The central Baltic Sea area covers regions from Sweden, Finland, Åland, Estonia and Latvia. Blue economy and its future potential:
 ECORYS has analysed more closely the development stage of 11 maritime sectors and their future potential (Table ). There is a very high future potential seen in the sector of coastal protection, but on the other hand, being in its maturity stage, the economic activity related to coastal protection is estimated to remain stable and high. Offshore wind, cruise tourism and maritime monitoring & surveillance are seen to be in their growth stage with high potential for future development through strong economic and employment growth, as new companies can enter the market and the prices of technologies gradually go down. Blue biotechnology and renewable energy also have very high growth potential, but being in their predevelopment stage, the most promising outputs are still to be defined. In these prominent sectors much research and development work is still required and the commercial viability needs to be proven ."
"Taking account of Land-Sea Interactions in Marine Spatial Planning","https://scispace.com/paper/taking-account-of-land-sea-interactions-in-marine-spatial-2yp8ni6piq","2019","Book Chapter","","Sue Kidd
Hannah Jones
Stephen Jay","10.1007/978-3-319-98696-8_11","https://scispace.com/pdf/taking-account-of-land-sea-interactions-in-marine-spatial-2yp8ni6piq.pdf","This chapter reflects on marine/maritime spatial planning (MSP) from a Land-Sea Interaction (LSI) perspective. It raises questions about the role and limitations of MSP in addressing sustainable development of the world’s oceans as many of the issues it is concerned with are inextricably connected to activity on the land. The chapter starts by identifying LSI considerations in some of the key documents that are guiding the establishment of MSP. It then sets out a framework for considering LSI and explores the different dimensions with particular reference to examples from European experience. It ends with an exploration of how LSI matters might inform future directions for MSP and may be heralding a new era of Territorial Spatial Planning (TSP), which spans both land and sea.","billion a year for the European economy. The potential to create many more jobs was also noted, with Organization for Economic Cooperation and Development (OECD) forecasts suggesting that the value of the global ocean economy could more than double by 2030. Fig:
 Significant growth rates were already evident in some sectors in Europe, for example, in the rapid development of offshore wind farms which have since 2012 emerged as a major contributor to European employment accounting for around 150,000 jobs (EC 2017a). Increasing recognition of the economic significance and potential for growth in maritime sectors is prompting a new phase of LSI research with a more direct socio-economic and landward orientation. This is reflected in the Blue Growth strand of Horizon 2020 research programme (EC 2017b) as well as research directly commissioned by different arms of the European Commission such as DG Mare. An example that is helpful to the current discussion is a study of Scenarios and Drivers for Sustainable Growth from the Oceans, Seas and Coasts (Ecorys 2012). Out of an identified 27 maritime economic activities of significance in Europe, this study examined 11 sectors which were considered to offer the most growth potential (short sea shipping, marine aquatic products, blue biotechnology, oil and gas, offshore wind, ocean renewable energy, marine minerals, coastal tourism, cruise tourism, coastal protection, maritime security and surveillance and environmental monitoring). Value chain analysis formed a key part of the investigation. A summary example of its application to short sea shipping together with an outline of the approach is shown in Fig. .4. Value chain analysis explores the landward implications of maritime sectors including direct employment associated with the core activity and indirect employment associated with backward and forward sector linkages. These aspects are all affected by surrounding framework conditions that provide the context for the maritime economic activities to develop (e.g. inland port and transport infrastructure, and training and research institutions). It is perhaps important to note that many aspects of these framework conditions lie beyond the control of MSP but are influenced by the policy and activities of terrestrial agencies including those related to terrestrial planning. Further development of this value chain analysis is a central component of the ESPON funded MSP-LSI project mentioned above and it is envisaged that it will be a core element in the LSI guidelines which will be produced by the project to help both MSP and terrestrial planning regimes understand and address LSI issues."
"The EU Adopts an Integrated Maritime Policy and Action Plan: Is the U.S. Far Behind or Ahead?","https://scispace.com/paper/the-eu-adopts-an-integrated-maritime-policy-and-action-plan-67eu1jph7e","2010","Journal Article","Sustainable Development Law and Policy","Joan M. Bondareff","","https://scispace.com/pdf/the-eu-adopts-an-integrated-maritime-policy-and-action-plan-67eu1jph7e.pdf","","can ""help ensure the economically and environmentally sustainable development of coastal regions."" At the same time, the Commissioner applauded the development by some Member States of pilot projects for implementing such spatial planning, notably Germany, the United Kingdom, Ireland, and the Netherlands. increaSeD fiShery reGulationS anD review of labor law excluSionS:
 The Commission observed that ""the current situation of European fisheries cannot be deemed as satisfactory,"" and susTaInable DevelopmenT law & polIcy ""efforts to achieve capacity reduction, and the conservation and restoration of fish stocks must go hand-in-hand with improving the social well-being of those active in the sector.""  Consequently, the Commission announced that, in 2008, it will adopt a Communication on the overall application of the ecosystem approach to the Common Fisheries Policy. One of the top priorities for a Common Fisheries Policy will be the elimination of the dumping overboard of dead, unwanted fish as by-catch. The Commission is also preparing a draft regulation on combating illegal, unregulated, and unreported (""IUU"") fishing. Finally, the Commission will come forward with a legislative proposal to regulate destructive fishing practices on the high seas by EU fishing vessels, e.g., bottom trawling. increaSeD fiShery reGulationS anD review of labor law excluSionS:
 The Commission has agreed to undertake an assessment of the situation concerning the exclusion of maritime professions from EU social legislation and working conditions in a Communication to be launched later this month. Further, the Commission will work towards establishing a Certificate of Maritime Excellence to be endorsed on a voluntary basis with the aim of supplying highly knowledgeable personnel to the shipping industry. promotion of a european network of maritime cluSterS:
 The EU proposes to build on an existing system of maritime clusters to promote a European network of such clusters. A maritime cluster is a region within which maritime industries and related activities may be co-located.  a european marine obServation anD Data network A new European Maritime Observation and Data Network (""Network"") will be proposed in 2009, on the basis of a road map to be published in 2008. According to Commissioner Borg, in an October 19, 2007 presentation to the Conference of Peripheral Maritime Regions of Europe, the Network will serve as a ""genuine driver for the integrated governance of maritime affairs.""  The Network also will provide opportunities for high-technology commercial companies in the maritime sector and improve the efficiency of marine observation and the management of marine resources and marine research. It will be integrated with the global initiative for a Group of Earth Observation System of Systems, called GEOSS, and the European contribution called Global Monitoring for Environment and Security, or GMES. On a related note, the Commission, in the second half of 2008, will propose a program for the development of mutually compatible and multi-dimensional mapping of seas in Member States' waters. promotion of a european network of maritime cluSterS:
 a StrateGy to mitiGate the effectS of climate chanGe on coaStal reGionS"
"The Economic Impact of the Blue Economy","https://scispace.com/paper/the-economic-impact-of-the-blue-economy-52ec6enfpv","2019","Proceedings Article","","Ana Olteanu
Viorela Stinga","10.18662/LUMPROC.111","https://scispace.com/pdf/the-economic-impact-of-the-blue-economy-52ec6enfpv.pdf","For many countries the marine, costal and maritime sectors represent an important foundation for sustainable development. This is why in order to deliver and achieve it, many countries extend their economy beyond land based activities. A sustainable blue economy in every country depends not only on their maritime and marine zones, but also on their existing economic activities and their issues regarding the environmental, social, and cultural conditions. The main objective of the “blue economy” is to ensure environmental sustainability while promoting social inclusion, economic growth and preservation or improvement of livelihoods (UNCTAD 2014, UNDESA 2014). According to the World Bank in Europe, the Blue Economy represents nearly 5.4 million jobs and generates a gross added value of approximately €500 billion per year. In order to have a sustainable blue economy each country should find the best way to balance sustainability and economic growth to allow optimal use of maritime resources, ensuring at the same time maximum benefit to the environment. Throughout this paper, we tried to emphasize the economic impact of the Blue economy, by analyzing the key sectors: maritime transport, cruise tourism, aquaculture and offshore oil and gas. In each country, some of these sectors need little encouragement and additional governance, while others required better and more efficient planning in order to obtain sustainable outcomes.","Title: The Economic Impact of the Blue Economy Authors: Ana Olteanu,Viorela Stinga Keywords: Blue economy, maritime transport, cruise tourism, aquaculture, offshore oil and gas"
"The Human Relationship with Our Ocean Planet","https://scispace.com/paper/the-human-relationship-with-our-ocean-planet-1yqtjyzi","2023","Book Chapter","","C_S4CAM_2202-Pdf-Dumps","10.1007/978-3-031-16277-0_11","https://scispace.com/pdf/the-human-relationship-with-our-ocean-planet-1yqtjyzi.pdf","Abstract People across the world have diverse economic, sociolegal, institutional, social and cultural relationships with the ocean—both its littoral zones and the open sea spaces through which people have traditionally navigated, migrated, fished, traded, played and sought solace, spiritual enlightenment, adventure, material enrichment, social identity, cultural expression, artistic inspiration or good health. These relationships are reflected in formal and informal institutions (polices, laws, social norms) that regulate many of these activities, including those that regulate access to resources. These institutions represent a series of prior claims and rights to the use and enjoyment of the ocean by coastal and maritime societies. ","small-scale fishers and lower-income recreational visitors to the coast, and confines them to less desirable, more polluted or industrialised and degraded sites. It thus risks reallocating the well-being benefits of the oceanthat common heritage of humankind-to the wealthy. The Ocean Economy and Its Acceleration:
 Whether we use the terms blue economy, blue growth or sustainable ocean economy, there is an urgent need to focus on equity-both currently and intergenerationally-as a crucial component of ocean development . Mainstreaming and foregrounding equity within sustainability narratives will require active consideration of alternative and diverse visions for the future ocean economy. Some of these 'counter-narratives' are already being articulated and include steady-state economics (Daly 1991) and de-growth . These merit critical consideration alongside promising but less radical alternatives for future environmental sustainability, such as the circular economy, which calls for 'a new relationship with our goods and materials', emphasising a shift away from disposability and planned obsolescence towards durability and reuse . Other alternative visions, such as Indigenous ocean economies, likely exist, but uncovering and understanding them may require work with a diverse array of stakeholders. The Ocean Economy and Its Acceleration:
 Here we aim to ensure that any blue economy or future ocean economy vision considers the objectives of the ocean economy in social terms. An economy ultimately exists to support people's needs and aspirations. The Ocean Economy and Its Acceleration:
 People's needs and aspirations are more than monetary, so it follows that the economy should be built upon broader values too. Here we suggest that economic policy consider social well-being as a way to identify and categorise human relationships with the sea. Source: Redrawn from , where further information on data sources can be found. Social Well-being and How the Ocean Contributes to It:
 Economic activity in the ocean is growing rapidly (Box 11.1). If the upsurge in economic activity is to lead to an upsurge in human well-being, then its emergent and potential future impacts must be understood. In order to build that understanding, we must first 'unpack' the concept of wellbeing and identify the ways the ocean contributes to wellbeing in all its dimensions. It is these 'human relationships with the ocean' that we seek to characterise, drawing on the framework introduced in Sect. 11.2.2."
"Enhancing social acceptance in marine governance in Europe","https://scispace.com/paper/enhancing-social-acceptance-in-marine-governance-in-europe-si7iaj359o","2015","Journal Article","Ocean & Coastal Management","Katrine Soma
Claire Haggett","10.1016/J.OCECOAMAN.2015.11.001","","","Title: Enhancing social acceptance in marine governance in Europe Keywords: Social acceptance, marine governance, offshore wind farms, public engagement, Blue growth"
"Towards sustainable blue growth: Outline of the joint Baltic Sea and the North Sea research and innovation programme 2018-2023","https://scispace.com/paper/towards-sustainable-blue-growth-outline-of-the-joint-baltic-4m028hyiu5","2016","","","Andris Andrusaitis
David Cox
Antoine Dosdat
Kay Emeis
Joachim Harms
Maurice Heral
Peter Herrmann
Floor ten Hoopen
Simon Jennings
Kerstin Johannesson
Kaisa Kononen
Fritz Köster
Maria Laamanen
Tonny Niilonen
Markku Ollikainen
Laura Raaska
Bo Riemann
Maija Sirola
Josef Stuefer
Mats Svensson
Ulrich Wolf","","https://scispace.com/pdf/towards-sustainable-blue-growth-outline-of-the-joint-baltic-4m028hyiu5.pdf","General information State: Published Organisations: National Institute of Aquatic Resources, Institute Management, Aarhus University Contributors: Andrusaitis, A., Cox, D., Dosdat, A., Emeis, K., Harms, J., Heral, M., Herrmann, P., ten Hoopen, F., Jennings, S., Johannesson, K., Kononen, K., Köster, F., Laamanen, M., Niilonen, T., Ollikainen, M., Raaska, L., Riemann, B., Sirola, M., Stuefer, J., Svensson, M., Wolf, U. Number of pages: 59 Publication date: 2016","recreational use of marine environment is consumptive and causes negative impacts in the marine environment, albeit in a much smaller scale than the sectors presented above. The key means of sustainable recreation are well planned coastal construction, avoidance on littering and clean marine transportation. BOX 6: SECTORS OF BLUE ECONOMY:
 New maritime industries are expected to expand quite rapidly along with current dominant industries. The numbers of o shore structures related to wind energy is ramping up quickly, and ambitious plans for the development of wind farms in the exclusive economic zone exist in most riparian countries in the Baltic Sea and the North Sea. Other energy related infrastructures, such as gas pipelines (Baltic Sea) or electricity transmission lines will increase in both seas in the future. Currently, much e ort is devoted to develop marine biotechnology applications and to improve safety of maritime transportation. The emergence of new sectors will create competition with traditional sectors on the uses of sea oor space and other marine resources. While some intervention may be needed to reconcile antagonistic interests, markets will do much of the adaptation, because the relative pro tability of each industry ultimately determines the market allocation of maritime resources between industries. These issues of emerging industries will be discussed at length later. BOX 6: SECTORS OF BLUE ECONOMY:
 environment lies at the heart of the EU's strategy of blue growth. BOX 6: SECTORS OF BLUE ECONOMY:
 e above account shows that societies exploit marine ecosystem services in multiple and increasing ways. Maritime industries, built on the exploitation of marine resources, are pro table and expanding over time. At the same time, in the absence of well-planned environmental policies, they also cause air and water pollution and deteriorate marine biodiversity. While there are a lot of possibilities to reduce these impacts and preserve pristine marine nature, the knowledge base for designing comprehensive cost-e cient policies is still vague. To sustain blue economy in the future, and to combine a number of cross-sectorial interests and a proper utilisation of the marine resources, special knowledge and know-how on cross-border maritime spatial planning and regulatory instruments are needed. ese can be developed drawing on analysis of human uses and pressures on marine environment and on the measures and instruments to mitigate the pressures. BOX 6: SECTORS OF BLUE ECONOMY:
 e di erences and similarities between the Baltic Sea and the North Sea, in terms of economic and social actors involved, of current environmental problems and of possible future scenarios can o er an excellent case for further exploring the conceptual and methodological aspects of ecosystem service valuation. Use of information from both of these seas in policy orientation and in scenario studies is a promising aspect, both from the viewpoint of developing the approach and from the viewpoint of feeding into policy development."
"Enabling conditions for an equitable and sustainable blue economy","https://scispace.com/paper/enabling-conditions-for-an-equitable-and-sustainable-blue-4edm904sfm","2021","Journal Article","Nature","Andrés M. Cisneros-Montemayor
Marcia Moreno-Báez
Gabriel Reygondeau
William W. L. Cheung
Katherine M. Crosman
Pedro C. Gonzalez‐Espinosa
Vicky W. Y. Lam
Muhammed A. Oyinlola
Gerald G. Singh
Wilf Swartz
Chong-Wei Zheng
Yoshitaka Ota","10.1038/S41586-021-03327-3","https://scispace.com/pdf/enabling-conditions-for-an-equitable-and-sustainable-blue-4edm904sfm.pdf","The future of the global ocean economy is currently envisioned as advancing towards a ‘blue economy’—socially equitable, environmentally sustainable and economically viable ocean industries1,2. However, tensions exist within sustainable development approaches, arising from differing perspectives framed around natural capital or social equity. Here we show that there are stark differences in outlook on the capacity for establishing a blue economy, and on its potential outcomes, when social conditions and governance capacity—not just resource availability—are considered, and we highlight limits to establishing multiple overlapping industries. This is reflected by an analysis using a fuzzy logic model to integrate indicators from multiple disciplines and to evaluate their current capacity to contribute to establishing equitable, sustainable and viable ocean sectors consistent with a blue economy approach. We find that the key differences in the capacity of regions to achieve a blue economy are not due to available natural resources, but include factors such as national stability, corruption and infrastructure, which can be improved through targeted investments and cross-scale cooperation. Knowledge gaps can be addressed by integrating historical natural and social science information on the drivers and outcomes of resource use and management, thus identifying equitable pathways to establishing or transforming ocean sectors1,3,4. Our results suggest that policymakers must engage researchers and stakeholders to promote evidence-based, collaborative planning that ensures that sectors are chosen carefully, that local benefits are prioritized, and that the blue economy delivers on its social, environmental and economic goals. The capacity to create an equitable and sustainable ‘blue economy’ from ocean resources will be determined by addressing social conditions, governance and infrastructure, not just resource availability, as shown by a fuzzy logic model incorporating multidisciplinary criteria.","decrease pressure on wild stocks , but expansion that is focused on high-value species intended for export may not increase local food availability and could even decrease it by using fish for farm feed and degrading productive habitats such as mangroves that sustain local fisheries . Blue economy capacity:
 The Americas, Europe and Oceania regions generally scored higher on enabling conditions than on resource availability (Fig. ), but factors such as infrastructure, economic and group equity can be highly variable between and within jurisdictions (Fig. ). In the Americas, natural capital approaches to ocean development are most common but specific plans are in relatively early stages compared with Europe and Oceania, with the exception of some Caribbean nations and a general interest in ecotourism and mariculture  . The European Union (EU) has focused on sectors such as offshore wind energy and mariculture and initially excluded fisheries  , reflecting the different objectives for ocean development across regions. Fisheries have been included in more recent EU plans  , given scientific evidence of their potential for growth if economic efficiency is improved  . By contrast, Oceania has prioritized community objectives, traditional resource uses, and emerging sectors that can be developed in accordance with local customs  . Across regions, participatory design of contextually appropriate goals and strategies could help align economic incentives and identify local investment needs. Recognizing and including a wide range of stakeholders and perspectives is a foundational step in this process of transformation  . Blue economy capacity:
 All coastal nations could develop and transform their ocean economies to advance equity and sustainability (Fig. ), and our results show that most marine renewable resources are indeed within EEZs with clearer rights and responsibilities (Fig. ). It is important, however, to avoid conflicts and find synergies between existing and emerging sectors-and development goals Article:
 contribute to carbon sequestration, habitat protection, artisanal fisheries and ecotourism  . Ecotourism, if carefully implemented, can be important for rural communities but also incentivizes conservation and infrastructure investments with wider benefits  . Ocean energy investment has lagged in the developing world due to infrastructure and economic viability conditions  (Fig. ), but focusing on marginalized communities could shift investment towards areas that are difficult or expensive to connect to existing grids ('last-mile electrification'). Global marine biodiversity is double that found in terrestrial systems  and bioprospecting could add economic incentives for conservation  . However, disparities in local capacity can lead to unequal sharing of benefits from such resources-for example, a single corporation has registered 47% of marine genetic sequences included in patents worldwide  -again highlighting the need for a focus on social equity within a blue economy that supports wider well-being  . In addition, as we face unprecedented effects from the ongoing COVID-19 pandemic, all sectors need to consider risks of unexpected external shocks."
"Navigating the future III: updated synthesis of perspectives on marine science and technology in Europe","https://scispace.com/paper/navigating-the-future-iii-updated-synthesis-of-perspectives-15buckktyd","2006","","","J-F Minster
N Connolly
A Carbonnière
JW de Leeuw
M Evrard
Jan Mees
K Nittis
G O'Sullivan
N Walter","","https://scispace.com/pdf/navigating-the-future-iii-updated-synthesis-of-perspectives-15buckktyd.pdf","","address: (i) European and global policies; (ii) research programmes and projects; and (iii) infrastructure initiatives. Boxes: Boxes are colour-coded as follows: Boxes: Green -policy and management initiatives Blue -research initiatives Yellow -technology and infrastructure initiatives Introduction:
 The recent publication Maritime Facts & Figures  succinctly summarises and draws attention to the importance of the European maritime economy. It notes for example that the seas and oceans cover over 70% of the Earth's surface, and represent over 50% of the territory of the European Union (EU). By virtue of the European Union's Member States' 200-mile economic zones and extended continental shelves, the waters under European jurisdiction (including four seas and two oceans) stretch from the Arctic through the North Sea, Baltic, Atlantic, Mediterranean and the Black Sea. European jurisdiction also includes the waters surrounding Europe's ultra-peripheral regions. This marine world is still relatively unexplored and its resource potential has yet to be realised. The landmass of the European Union has a coastline of 68,000 km, equivalent to seven times that of the USA and four times that of Russia. Twenty of the European Union's 25 Member States have maritime coasts, and the capitals of eight Member States are located on (or within the tidal range of) the coast. Almost half of the European Union's population lives within 50 km of the coast (while 80% of the Norwegian population live in the coastal area). Over the past 50 years, the European population living by the sea has more than doubled, reaching 70 million people. As a result of this close association between European citizens and their seas, our coastal seas are heavily impacted by anthropogenic developments, with potential for increasing con icts between competing users. Introduction:
 The European seas and oceans are clearly of major strategic importance to the economic and social development of Europe, as well as to its defence and security. European maritime regions account for 40% of Europe's Gross Domestic Product (GDP) and maritime related activities provide direct employment to an estimated 3.5 million citizens. Introduction:
 The oceans play a range of essential roles for Europe, including providing energy resources, and the backdrop for maritime transport, and recreation. The oceans are hosts to living resources including those exploited for shing, aquaculture, genetic resources, etc. There is more energy in the top ve metres of the ocean than in the entire atmosphere, while the ocean's volume represents 97% of the biosphere on Earth. The oceans (as the habitat of more than 90% of known species) contain the highest biological diversity on Earth; marine organisms live throughout the water column, to an extreme depth of up to 11 km, and in ocean sediments up to a further 400 m below the sea oor. The oceans generate 70% of the Earth's oxygen, while at the same time inadvertently provide the greatest dumping area for anthropogenic pollution. The oceans are also a fundamental component of planet Earth's systems, particularly in their role in Europe's climate system, being both a major driver and an indicator of global climate change. The impact of the role of the oceans in climate regulation ranges beyond the coastal regions, in uencing continental landmasses. The ocean circulation in the North Atlantic plays a key role in regulating the temperate climate of Western Europe."
"Maritime Accounts in the European Union: Coping with Limited Information","https://scispace.com/paper/maritime-accounts-in-the-european-union-coping-with-limited-1joyabp7wi","2016","Journal Article","","Regis Kalaydjian","10.15351/2373-8456.1050","https://scispace.com/pdf/maritime-accounts-in-the-european-union-coping-with-limited-1joyabp7wi.pdf","The European Commission's effort to define the scope and components of the maritime economy was initially motivated by the Integrated Maritime Policy (2007). This policy package, principally based on coastal environment protection, maritime safety and security, and the European marine observation and data network, also included the development of an EU-wide economic and social database on maritime activities. The IMP database (2009) used experience from EU member states in terms of maritime database development, and conversely was an opportunity to update national contributions. Later, two other packages contributed to broadening EC's approach. 1) The Marine Strategy Framework Directive (2008) was a legislation on marine environment protection. Among other things, it required from member states an economic assessment of marine water uses. 2) The Blue Growth Strategy (2012) was launched to analyse and stimulate the potential for growth and job creation in maritime sectors, in line with EU's strategy for 2020. The preparation phase included studies assessing the economic significance of blue sectors. These studies were an opportunity to consider the growth potential of maritime sectors and raise the question of how to describe this in the framework of a database. On the basis of national experiences and of the main steps of EC's policy, the present article will address in turn: - The development of maritime databases in member states and at the EC, and their definition of the maritime economy; - Methodological issues concerning the sectoral and geographical approach to an EU maritime database, including the problem of partially maritime sectors, data quality issues, and options for coping with limited information; - The analysis of blue sectors with high growth potential, the methodology used for such analysis based on present and expected growth rates and job creation, and the issues limiting the applicability of this methodology.","e.g.: turnover or gross premiums written, gross value added and employment; b) additional indicators (monetary or non-monetary) collected from complementary sources, e.g. industry sources: landings tonnage, transported cargo tonnage, etc. NATIONAL APPROACHES IN EU COUNTRIES:
 Despite their common objectives, in the absence of common European standards and definitions, these reports were published separately without intended harmonization. Their main differences concern: a) Definition, coverage and breakdown of the maritime economy (Table ), b) Definition of certain maritime sectors, notably coastal tourism, c) Definition of employment (full time equivalents; or number employed without other specification). NATIONAL APPROACHES IN EU COUNTRIES:
 Comparability of reports is limited owing to the diversity of sources. But despite data gaps and limited quality of certain data, these country reports are a significant step towards the acquisition of skills and experience on the design and development of maritime accounts in Europe. NATIONAL APPROACHES IN EU COUNTRIES:
 In quantitative terms, the studies show that the maritime economy of European countries accounts for a modest share of the national economy: 1.5% to 2% for France, slightly more for Italy (1.5 to 2.5%), for the Netherlands (3%) and UK (3 to 4%), and substantially more for Norway (7%) and Schleswig-Holstein (12.5%) where maritime activities are essential components of the industry and service mix. Some of these studies use input-output matrices to estimate indirect impacts of maritime activities on the national economy (e.g. . However this paper will be limited to the valuation of maritime activities (direct impacts); the methodology section below will not examine the estimation of indirect impacts. EU MARITIME POLICY AND REQUIREMENTS FOR AN EU-WIDE ECONOMIC DATABASE:
 Since the 2000s, unlike EU countries, the requirements of the European Commission (EC) for maritime economic data were systematically policy driven. This was in line with EC's working procedure: EC's requirements for statistics from Eurostat, the statistical office of the EC, have to be justified by a legal base or an EC policy initiative (see Eurostat, 2014: priority area 08, ""Maritime policy statistics"", p. 152). EU MARITIME POLICY AND REQUIREMENTS FOR AN EU-WIDE ECONOMIC DATABASE:
 An important example of EC policy initiative was the ""Blue Book"" published in 2007, i.e. the communication from the EC on the IMP Integrated Maritime Policy . The IMP referred to the guiding principles of the ""Lisbon Agenda"" (promoting competitiveness and employment growth) and the ""Göteborg Agenda"" (promoting sustainable and job-generating growth and social cohesion). These principles were major drivers for the four main policy orientations of the Blue Book: a) Boost productivity in key maritime sectors (e.g. shipping and ports, marine research); b) Manage maritime activities in terms of safety and security, and space and resource consumption; c) Manage marine environment (water and environment monitoring; climate change and air pollution impacts mitigation); d) Improve working conditions in maritime activities, and quality of life in coastal zones."
