column,dtype,non_null,null
Indicator 4: Online 'Web' interfaces to access or view data,object,8,4
Unnamed: 1,str,6,6
Unnamed: 2,str,2,10
Unnamed: 3,str,2,10
Unnamed: 4,str,1,11
Unnamed: 5,str,1,11
