Authors,Count
Bartłomiejski R,7
BARTLOMIEJSKI R,6
KOWALEWSKA D,5
KOWALEWSKI M,5
ADAMCZYK A,2
BARTLOMIEJSKI ROBERT,2
BARTOMIEJSKI R,2
KOWALEWSKI MACIEJ,2
Bartłomiejska I,1
Guźniczak C,1
MACIEJ KOWALEWSKI,1
ROBERT BARTLOMIEJSKI,1
SZCZECINSKI U,1
Stempiński S,1
TROJANOWSKA-STRZEBOSZEWSKA M,1
TROJANOWSKASTRZBOSZEWSKA M,1
