column,dtype,non_null,null
Dimension (Aspect),object,8,11
ID,object,19,0
Competence Name,object,19,0
Key Simplified Focus (Applied to all 12 Sectors),object,19,0
Blue Biotech,object,19,0
Coastal Tourism,object,19,0
Desalination,object,19,0
Infra & Robotics,object,19,0
Living Res.,object,19,0
Non-living Res.,object,19,0
Renewable Energy,object,19,0
Maritime Defence,object,19,0
Maritime Transport,object,19,0
Port Activities,object,19,0
R&I,object,19,0
Ship Repair,object,19,0
