column,dtype,non_null,null
Indicator 4: Online 'Web' interfaces to access or view data,object,7,5
Unnamed: 1,object,5,7
Unnamed: 2,object,2,10
Unnamed: 3,object,2,10
Unnamed: 4,object,1,11
Unnamed: 5,object,2,10
