pct_layer,notes
Seaward approaches,Approach channels and fairways
Port waters,Harbor basins and turning areas
Berth,Specific berth or quay
Terminal,Terminal footprint incl. yards
Port estate,Non-terminal port land and services
Waterfront interface,Edge spaces port↔city
Urban district,Neighborhood scale
Citywide grid,City distribution grid and substations
Hinterland corridor,Rail/road/pipe energy–freight links
Region,Functional urban area
