NACE_code,C.20.16,C.29.1,C.30.2,D.35.11,D.35.21,D.35.3,E.38.11,E.38.21,F.42.13 ,F.43.22,H.49.10,H.49.20,H.49.31,H.49.32,H.49.39,H.49.41,H.52.21,H.53.1,H.53.2,N.77.11,N.77.12
NACE description,Manufacture of plastics in primary forms,Manufacture of motor vehicles,Manufacture of railway locomotives and rolling stock,Production of electricity,Manufacture of gas,Steam and air conditioning supply,Collection of non-hazardous waste,Treatment and disposal of non-hazardous waste,Construction of bridges and tunnels,"Plumbing, heat and air-conditioning installation","Passenger rail transport, interurban",Freight rail transport,Urban and suburban passenger land transport,Taxi operation,Other passenger land transport n.e.c.,Freight transport by road,Service activities incidental to land transportation,Service activities incidental to land transportation,Other postal and courier activities,Renting and leasing of cars and light motor vehicles,Renting and leasing of trucks
TEC_proxy,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,"Proxy: ratio [Gross electricity production from fossil fuels in Gwh]/[Gross electricity production Total in Gwh]. Datasource:https://ec.europa.eu/eurostat/databrowser/view/NRG_BAL_PEH__custom_2421912/default/table?lang=en
Variable chosen = fossil energy",Proxy: 1-TAC.,"Proxy: % of fossil sources in heating and cooling. 
Datasource: Eurostat filecode [TEN00125], Final energy consumption in households by type of fuel.
Note: computation: % (Natural gas + Primary solid biofuels +Gas oil and diesel oil (excluding biofuel portion) + Solid fossil fuels + Liquefied petroleum gases	+ Other kerosene) out of total.",Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.
Luxembourg,0.8614999999999999,0.8441,0.03320000000000001,0.1406,1,0.795,0.6999,0.6999,0.8392230914486107,0.87386,0.03321033210332103,0.03321033210332103,0.9241,0.9819,0.9241,0.9926,0.8392230914486107,0.9926,0.9926,0.9819,0.9926
Malta,0.9593,0.9104,N.A.,0.902,1,0.1467,0.8658,0.8658,N.A.,0.76973,N.A.,N.A.,0.9948,0.9943,0.9948,0.9974,N.A.,0.9974,0.9974,0.9943,0.9974
Netherlands,0.7718,0.7967,N.A.,0.7764,0.9938010183236263,0.6829,0.7203999999999999,0.7203999999999999,0.9943560338499466,0.91947,N.A.,N.A.,0.8429,0.9722,0.8429,0.9912,0.9943560338499466,0.9912,0.9912,0.9722,0.9912
Poland,0.8734999999999999,0.9904,0.4225,0.8402,1,0.4577,0.7293000000000001,0.7293000000000001,0.9464142628205128,0.77856,0.42251778533869466,0.42251778533869466,0.9939,0.9993,0.9939,0.9993,0.9464142628205128,0.9993,0.9993,0.9993,0.9993
Portugal,0.8643000000000001,0.8709,0.3288,0.4576,1,0.247,0.8618,0.8618,0.8790466387639533,0.5845400000000001,0.3287611582843457,0.3287611582843457,0.9918,0.9923,0.9918,0.9988,0.8790466387639533,0.9988,0.9988,0.9923,0.9988
Romania,0.8759,0.98,0.6255,0.3905,1,0.3798,0.9338,0.9338,0.924557678697806,0.74673,0.6255228181057719,0.6255228181057719,0.9953,0.9984,0.9953,N.A.,0.924557678697806,N.A.,N.A.,0.9984,N.A.
Slovakia,0.7754,0.99,0.5627,0.2204,1,0.4386,0.6673,0.6673,0.9673215407914121,0.8057300000000001,0.56268944612841,0.56268944612841,0.9724,N.A.,0.9724,N.A.,0.9673215407914121,N.A.,N.A.,N.A.,N.A.
Slovenia,0.8220000000000001,0.97,0.49550000000000005,0.3128,1,0.2224,0.5421,0.5421,0.9646613361970918,0.67859,0.49545078577336643,0.49545078577336643,0.9977,0.9954,0.9977,N.A.,0.9646613361970918,N.A.,N.A.,0.9954,N.A.
Spain,0.8351999999999999,0.9616,0.3569,0.4084,1,0.4103,0.8093,0.8093,0.9144031956140304,0.8203400000000001,0.3569496328738889,0.3569496328738889,0.9951,0.9974,0.9951,0.9979,0.9144031956140304,0.9979,0.9979,0.9974,0.9979
Sweden,0.8663,0.7669,0.249,0.0199,0.8189438390611903,0.0159,0.8014,0.8014,0.9441411576729002,0.33619,0.24901367097898885,0.24901367097898885,0.9513,0.9779,0.9513,0.9875,0.9441411576729002,0.9875,0.9875,0.9779,0.9875
United Kingdom,0.8251999999999999,0.867,0.624,0.446,0.9957318902811262,0.7043,0.7279,0.7279,0.968555486299789,0.922,N.A.,N.A.,0.9906,0.9882,0.9906,0.9941,0.968555486299789,0.9941,0.9941,0.9882,0.9941
