Indicator 1: Current status and coverage of total available thematic data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
The purpose of this sheet is to provide a status overview of the different sub-theme data available on the portal and the download frequency by users,,,,,,,,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,,,,,,,,
1.A) Volume and coverage of available data,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Volume unit [1],,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,Records; related records,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-theme [2],,Total data volume per sub-theme: records ,Total data volume per sub-theme (previous quarter),Total data volume per sub-theme: related records ,Total data volume per sub-theme (previous quarter),Trend in total data volume (%) records [3],Trend in total data volume (%) related records[3],Total data Volume in GigaBytes [4],,,,,,,,,,,
Nuclear power plants,Nuclear Power plants sites,1,,,,1,,1,,1,,1,,,,,,,
Military zones,Military zones points,,,,,,,,,,,,,,,,,,
,Military zones areas,,,,,,,,,,,,,,,,,,
MSP,Spatial Plan areas,,,,,,,,,,,,,,,,,,
,"Supplementary regulation, areas",,,,,,,,,,,,,,,,,,
,"Zoning element, areas",,,,,,,,,,,,,,,,,,
,"Zoning element, lines",,,,,,,,,,,,,,,,,,
,"Zoning elements, points",,,,,,,,,,,,,,,,,,
Desalination,Desalination plants,1,,,,1,,1,,1,,1,,,,,,,
Please highlight newly added data within this reporting period.,,,,,,,,,,,,,,,,,,,
"[1] Indicate the volume unit of measurement: “records”, ""CDI"", “data sets”, or “platforms”. ",,,,,,,,,,,,,,,,,,,
[2] The list of sub-themes is provided in the first tab.,,,,,,,,,,,,,,,,,,,
[3] Trend is calculated from the figures at the end of the last quarter as compared with the figures at this stage.,,,,,,,,,,,,,,,,,,,
Explanation of trend value in the narrative.,,,,,,,,,,,,,,,,,,,
[4] Decimal definition 1 GB = 1000^3 bytes.,,,,,,,,,,,,,,,,,,,
[5] Total % sea-basin area covered by all data or number of CDIs/platforms/records in this area (left column) ; % area covered by data added in this phase or number of CDIs/platforms/records added this phase (right column).,,,,,,,,,,,,,,,,,,,
"Please feel free to record the areas as you did in the past, if you have problems with this lay-out. If you do that, please record this fact in the narrative.",,,,,,,,,,,,,,,,,,,
[6] Please note that the data that occur in the Arctic will also occur in the other areas.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.B) Usage of data in this quarter,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Manual download unit [1],,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,Datasets,,,,,,,,,,,,,,,,,
,,Trend on data,,,,,Web service Trends,,,,,,,,,,,,
Name of sub-theme/ interface,Breakdown of sub-theme,Unit and Total Volume available for download [2],Total Volume downloaded in GigaBytes [3],"Number of manual downloads 
(this quarter)","Number of manual downloads
(previous quarter)",Trend number of downloads (%) [4],Number of Map visualisations (this quarter),Number of Map visualisations (previous quarter),Trend number of map visualisations (%) [4],Number of WMS requests (this quarter),"Number of WMS requests 
(previous quarter)",Trend number of WMS requests (%) [4],"Number of WFS requests 
(this quarter)","Number of WFS requests 
(previous quarter)",Trend number of WFS requests (%) [4],,,,
Aggregate Extraction,Aggregate Extraction points/areas,1,0.08916,58,97,-0.4020618556701031,n.a.,n.a.,n.a.,87340,105922,-0.17543097751175393,2943,3822,-0.22998430141287285,,,,
Algae Production,"Macroalgae, Microalgae, Spirulina production sites",1,0.00386,35,71,-0.5070422535211268,n.a.,n.a.,n.a.,161533,173050,-0.06655301935856689,1420,1824,-0.22149122807017543,,,,
Aquaculture,Shellfish production,1,0.03296,145,206,-0.2961165048543689,n.a.,n.a.,n.a.,61721,71830,-0.14073506891271056,3565,3713,-0.03985995152168058,,,,
,Finfish production,1,0.01158,68,89,-0.23595505617977527,n.a.,n.a.,n.a.,68220,71951,-0.05185473447207127,3590,4526,-0.206805125939019,,,,
,Freshwater production,1,0.01454,23,34,-0.3235294117647059,n.a.,n.a.,n.a.,34311,42637,-0.19527640312404718,557,690,-0.1927536231884058,,,,
,Shellfish Aquaculture Licensed Sites,1,0.06719,29,41,n.a.,n.a.,n.a.,n.a.,25354,33839,n.a.,318,207,0.5362318840579711,,,,
,Shellfish Protected Areas under the WFD,1,0.2151,18,31,n.a.,n.a.,n.a.,n.a.,22243,29095,n.a.,124,193,-0.35751295336787564,,,,
Cables,Telecommunication  Cables (actual route locations),1,0.21141,176,166,0.060240963855421686,n.a.,n.a.,n.a.,813894,1327896,-0.3870800122901191,69432,61839,0.1227865909862708,,,,
,Power cables,1,2.67593,127,137,-0.072992700729927,n.a.,n.a.,n.a.,754039,993278,-0.24085804779729342,49625,41624,0.19222083413415336,,,,
Cultural Heritage,Heritage ship wrecks,1,0.10892,92,131,-0.29770992366412213,n.a.,n.a.,n.a.,103494,211287,-0.5101733660849934,1978,2445,-0.19100204498977505,,,,
,Worldwide wrecks,1,0.80659,87,n.a.,n.a.,n.a.,n.a.,n.a.,63641,n.a.,n.a.,429,n.a.,n.a.,,,,
,Lighthouses,1,0.0063100000000000005,17,38,-0.5526315789473685,n.a.,n.a.,n.a.,43931,41221,0.06574318915116081,2157,3185,-0.32276295133437993,,,,
,UNESCO World Heritage Convention,1,0.0015,19,38,n.a.,n.a.,n.a.,n.a.,27538,33777,n.a.,168,81,n.a.,,,,
,Submerged Prehistoric Archaeology and Landscapes,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,
Desalination,Desalination plants,1,0.08276,52,52,0,n.a.,n.a.,n.a.,42792,53642,-0.20226688042951418,1127,945,0.1925925925925926,,,,
Dredging,Dredging,1,0.13089,44,69,-0.36231884057971014,n.a.,n.a.,n.a.,59133,69325,-0.1470176703930761,2397,1513,0.5842696629213483,,,,
Energy,Nuclear Power plants sites,1,0.00229,27,40,-0.325,n.a.,n.a.,n.a.,40559,51858,-0.21788345096224304,864,1054,-0.18026565464895636,,,,
,Ocean energy Project Locations/Test sites,1,0.01608,48,101,-0.5247524752475248,n.a.,n.a.,n.a.,84975,106012,-0.1984397992680074,1768,3257,-0.45716917408658275,,,,
,Wind Farms,1,0.42347,294,382,-0.23036649214659685,n.a.,n.a.,n.a.,1972645,2529564,-0.22016402826732195,49146,19868,1.4736259311455606,,,,
Environment,Nationally designated areas (CDDA),1,33.97061,110,98,0.12244897959183673,n.a.,n.a.,n.a.,101564,82131,0.23660980628508116,1234,1838,-0.32861806311207836,,,,
,Natura 2000 areas,1,30.59119,94,112,-0.16071428571428573,n.a.,n.a.,n.a.,1470594,1139892,0.2901169584486951,9102,9713,-0.06290538453618862,,,,
,World Database on Protected Areas (WDPA),1,12.10873,46,75,-0.38666666666666666,n.a.,n.a.,n.a.,111605,1029022,-0.8915426492339328,1426,762,0.8713910761154856,,,,
,State of bathing waters,1,0.85202,112,223,-0.4977578475336323,n.a.,n.a.,n.a.,45934,47085,-0.024445152383986406,1358,1895,-0.283377308707124,,,,
,Emerald Network,1,7.0874,34,32,0.0625,n.a.,n.a.,n.a.,25513,26882,-0.050926270366788186,203,192,0.057291666666666664,,,,
,Regional Sea Conventions MPAs,1,13.59716,74,69,0.07246376811594203,n.a.,n.a.,n.a.,61367,45772,0.34071047802149784,752,340,1.2117647058823529,,,,
Fisheries,FAO fishery statistical areas,0,0.10962,32,n.a.,n.a.,n.a.,n.a.,n.a.,73,303,-0.759075907590759,9,76,-0.881578947368421,,,,
,ICES statistical areas,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,29497,31116,-0.052031109397094745,256,196,0.30612244897959184,,,,
,Fishery catches by FAO statistical area,1,0.53946,20,97,n.a.,n.a.,n.a.,n.a.,92659,101542,-0.08748104232731284,6267,4166,0.5043206913106097,,,,
,"Monthly first sales, EUMOFA",1,10.39978,81,38,1.131578947368421,n.a.,n.a.,n.a.,39509,37349,0.0578328737047846,1263,1863,-0.322061191626409,,,,
,Fishing intensity,1,11.91366,258,299,-0.13712374581939799,n.a.,n.a.,n.a.,354203,319544,0.10846393610895526,10342,11307,-0.08534536128062262,,,,
,Fishing quotas by FMZs,1,1.07613,37,60,n.a.,n.a.,n.a.,n.a.,13982,24367,n.a.,402,150,n.a.,,,,
,Fishing effort,1,0.15572,24,123,-0.8048780487804879,n.a.,n.a.,n.a.,96028,107916,-0.11015975388264947,2826,2022,0.39762611275964393,,,,
Main Ports,"Goods, Passengers, Vessels",1,4.90049,153,135,0.13333333333333333,n.a.,n.a.,n.a.,215979,394125,-0.4520038058991437,7948,5412,0.4685883222468588,,,,
