Indicator 3: Internal and external organisations supplying/approached to supply data and data products since start of the project phase,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Port Authority Loviisa, FI",Government/Public administration,Finland,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority of Kemi, FI",Government/Public administration,Finland,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Rafina, EL",Government/Public administration,Greece,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Rijeka, HR",Government/Public administration,Croatia,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Rotterdam, NL",Government/Public administration,Netherlands,North Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Rouen, FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Rovinj, HR",Government/Public administration,Croatia,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Thesalonik, EL",Government/Public administration,Greece,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Trieste, IT",Government/Public administration,Italy,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Castello, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port de Barcelona, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port of Tallinn, EE",Government/Public administration,Estonia,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port of Turku Finland, FI",Government/Public administration,Finland,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Porto de Aveiro, PT",Government/Public administration,Portugal,Atlantic Ocean,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Porto de Lisboa, PT",Government/Public administration,Portugal,Atlantic Ocean,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Ports de la Generalitat, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Puerto de Málaga, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Puerto de Santander, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"State Environmental Service Ministry of Environmental Protection and Regional Development of the Republic of Latvia, LV",Government/Public administration,Latvia,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Transport Malta, MT",Government/Public administration,Malta,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Valencia Port, ",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
HELCOM - Baltic Marine Environment Protection Commission - Helsinki Commission,Others,n.a.,,n.a.,Approached,Data,Wind farms,not restricted,Open data,Digital file,,
"Northland Deutsche Bucht GmbH, DE",Business,Germany,Baltic Sea / North Sea,n.a.,Approached,Data,Wind farms,not restricted,Open data,Digital file,,
OSPAR Commission (ODIM OSPAR data and information Management System),Others,n.a.,Atlantic Ocean / North Sea,n.a.,Approached,Data,Wind farms,not restricted,Open data,Digital file,,
"Royal Belgian Institute of Natural Science, BE",Academia/Research,Belgium,North Sea,n.a.,Approached,Data,Wind farms,not restricted,Open data,Digital file,,
The Wind Power,Business,n.a.,All,n.a.,Approached,Data,Wind farms,restricted,Commercial,Digital file,,
Wind Europe,Business,n.a.,All,n.a.,Approached,Data,Wind farms,not restricted,Open data,Digital file,,
DesalData,Business,n.a.,All,n.a.,Approached,Data,Desalination,restricted,Commercial,Digital file,,
CLS,Business,n.a.,All,n.a.,Approached,Data,AIS data,restricted,Commercial,Digital file,,
EMSA,Government/Public administration,n.a.,All,n.a.,Approached,Data,Route density,not restricted,Bilateral agreement,Digital file,,
"Federal Public Service (FPS) Health, Food Chain Safety and Environment",Government/Public administration,Belgium,North Sea,n.a.,Approached,Data,MSP,not restricted,Open data,Digital file,,
Danish Maritime Authority (Secretariat for maritime spatial planning),Government/Public administration,Denmark,Baltic Sea / North Sea,n.a.,Volunteered,Data,MSP,not restricted,Open data,Digital file,Ingestion,
Ministry of The Environment and Regionals councils,Government/Public administration,Finland,Baltic Sea,n.a.,Approached,Data,MSP,Not restricted,Open data,Digital file,,
Åland Provincial Government,Government/Public administration,Finland,Baltic Sea,n.a.,Volunteered,Data,MSP,Not restricted,Open data,Digital file,Ingestion,
Ministry of Environmental Protection and Regional Development of The Republic of Latvia,Government/Public administration,Latvia,Baltic Sea,n.a.,Approached,Data,MSP,Not restricted,Open data,Digital file,,
"Ministry of Maritime Economy and Inland Navigation, Maritime offices of Gdynia, Slupsk and Szczecin",Government/Public administration,Poland,Baltic Sea,n.a.,Approached,Data,MSP,Not restricted,Open data,Digital file,,
"Ministerio de Agricultura, Alimentacion y Pesca ",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,MSP,Not restricted,Open data,Digital file,,
Miniterio para la Transicion Ecologica y el Reto Demografico - Spain,Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Shellfish protected areas under the WFD,Not restricted,Open data,Digital file,,
"Department of Housing, Local Government, and Heritage",Government/Public administration,Ireland,Atlantic Ocean,n.a.,Approached,Data,Shellfish protected areas under the WFD,Not restricted,Open data,Digital file,,
DDTM de la Manche,Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Shellfish licenced sites,Not restricted,Open data,Digital file,,
DDTM 17 (Direction Départementale des Territoires et de la Mer de Charente-Maritime),Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Shellfish licenced sites,Not restricted,Open data,Digital file,,
DDTM 35 (Direction Départementale des Territoires et de la Mer d'Ille-et-Vilaine),Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Shellfish licenced sites,Not restricted,Open data,Digital file,,
DDTM 56 (Direction Départementale des Territoires et de la Mer du Morbihan),Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Shellfish licenced sites,Not restricted,Open data,Digital file,,
DDTM 29 (Direction Départementale des Territoires et de la Mer du Finistère),Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Shellfish licenced sites,Not restricted,Open data,Digital file,,
Direction Départementale des Territoires et de la Mer de Vendée,Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Shellfish licenced sites,Not restricted,Open data,Digital file,,
Marine Institute,Government/Public administration,Ireland,Atlantic Ocean,n.a.,Approached,Data,Shellfish licenced sites,Not restricted,Open data,Digital file,,
National Institute of Biology of Slovenia,Government/Public administration,Slovenia,Mediterranean Sea,n.a.,Volunteered,Data,Aquaculture,Not restricted,Open data,Digital file,Ingestion,
European Commission - DG MARE,Government/Public Administration,EU,All,0.015,Volunteered,Data,Fisheries: data on fishing quotas,0,No licence,Digital file,Directly,
UK Hydrographic Office,Government/Public administration,United Kingdom,Whole world,0.04,Approached,Data,Worldwide wrecks,0,Open Government Licence,Digital file,Directly,
Danish Maritime Authority,Government/Public administration,Denmark,"North Sea, Baltic Sea",0,Approached,Data,Military zones,0,CC BY,Digital file,Directly,
Ministry of Defence (Hydrographic Service – Royal Navy),Government/Public administration,Netherlands,"North Sea, Baltic Sea",0,Approached,Data,Military zones,0,CC BY,Digital file,Directly,
SHOM,Government/Public administration,France,"North Sea, Atlantic Ocean, Mediterranean Sea",0,Approached,Data,Military zones,0,CC BY,Digital file,Directly,
Swedish Agency for Marine and Water Management,Government/Public administration,Sweden,Baltic Sea,0,Approached,Data,Military zones,0,CC BY,Digital file,Directly,
[1] The organisation types are: ,,,,,,,,,,,,
Academia/Research,,,,,,,,,,,,
Government/Public administration,,,,,,,,,,,,
Business and Private company,,,,,,,,,,,,
NGOs/Civil society,,,,,,,,,,,,
Others,,,,,,,,,,,,
[2] For which sea-basin(s) was the data provided?,,,,,,,,,,,,
[3] Restricted data is defined as 'non-public data'. ,,,,,,,,,,,,
[4] Was the data provided through EMODnet Ingestion or directly through the thematic?,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,
3) Organisations supplying/ approached to supply data anad data products,Nothing to report,,,,,,,,,,,
