Title,Author/Organisation,URL,Publication Year,Description,Type,Region,Language
Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries in the Context of Food Security and Poverty Eradication,FAO,https://www.fao.org/voluntary-guidelines-small-scale-fisheries/en,2015.0,"""Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries"" provides principles and recommendations to support sustainable, equitable and rights-based management of small-scale fishing communities, livelihoods and ecosystems.",Guidance; Small Scale Fisheries,Global,English
Implementing Indigenous rights through climate–health governance: advancing the Indigenous Determinants of Health framework within the UNFCCC,"Geoffrey Scott Roth, Alejandro Bermudez Del Villar, Amina Amharech, Lala Forrest, Matthew Carvalho",https://www.frontiersin.org/journals/climate/articles/10.3389/fclim.2025.1697881/full,2025.0,"The policy brief examines how Indigenous Peoples’ rights can be operationalised within global climate governance by integrating the Indigenous Determinants of Health (IDH) framework into UNFCCC processes, highligting entry points to strengthen rights-based, culturally safe and inclusive climate action",Indigenous Rights,Global,English
What are the Impacts on Community Wellbeing of Social Relations in Conservation Projects?,"Kate Barclay, Michael Fabinyi, Annie Young Song, Yoshi Ota, Jessica Vandenberg, and Nick McClean",https://www.jstor.org/stable/27324022?seq=1,2024.0,"This academic article reviews how social relations between conservation organisations and local communities can positively or negatively affect community wellbeing. It highlights the role of power, equity, and organisational practices in shaping conservation outcomes.",Social Impact in Coservation,Global,English
The Arctic Rivers Project: Using an equitable co-production framework for integrating meaningful community engagement and science to understand climate impacts,"Nicole Herman-Mercer, Alestine Andre, Victoria Buschman, Dylan Blaskey, Cassandra Brooks, Yifan Cheng, Evelynn Combs, Karen Cozzetto, Serena Fitka, Joshua Koch, Aine Lawlor, Elizabeth Moses, Emily Murray, Edda A. Mutter, Andrew Newman, Charles Prince, Patricia Salmon, Jenessa Tlen, Ryan Toohey, Michael Williams, Keith Musselman",https://onlinelibrary.wiley.com/doi/10.1029/2022CSJ000024,2023.0,"This article examines how climate change is affecting ocean ecosystems and coastal communities, and identifies key research and policy priorities to support effective and equitable adaptation.",Co-Production; Climate Change Impacts,Arctic,English
"Climate, Coasts and Communities; Scaling Nature-Based Climate Solutions for Resilient Coastal Communities and Ocean Ecosystems ",WWF,https://coastalcommunityledconservation.org/wp-content/uploads/2025/11/FINAL_WWF-Climate-Coasts-and-Communities__Report-2025.pdf,2025.0,"This report sets out the rationale for scaling such locally rooted solutions, advocating for greater policy and financial support, and showcasing evidence of their effectiveness in driving equitable adaptation to climate change – protecting biodiversity while enhancing community resilience and prosperity.",Coastal Communities; Nature-Based Solutions,Global,English
"Assessing And Improving Social Equity in Marine Conservation: Background, Methods and Guidance on Three Approaches","Mark Andrachuk, Nathan J. Bennett, Kira Sullivan-Wiley, Georgina G. Gurney, Stacy Jupiter, Gerald G. Singh, Neil Dawson, Mia Strand, David A. Gill, Jacqueline Lau, Katina Roumbedakis, Ella-Kari Muhl, Priscila F. M. Lopes, Elena M. Finkbeiner, Sebastian Villasante, Joachim Claudet, Jessica Blythe, Juno Fitzpatrick, Josheena Naggea, Shauna L. Mahajan, Samiya Selim, Timur Jack-Kadıoğlu and Phil Franks",https://parksjournal.com/wp-content/uploads/2025/12/8.-Andrachuck-et-al.pdf,2025.0,"Methods paper emphasising social equity assessments as part of ongoing learning activities. They discuss practicalities, lessons learned, and how to move from assessment to action. ",Social Equity; Marine Conservation,Global,English
"Guidance on engagement with Indigenous Peoples, Local Communities and affected stakeholders",Taskforce on Nature-related Financial Disclosures,https://tnfd.global/wp-content/uploads/2023/08/Guidance_on_engagement_with_Indigenous_Peoples_Local_Communities_and_affected_stakeholders_v1.pdf?v=1695138220,2023.0,"The key audiences for this document are companies and financial institutions engaging with Indigenous Peoples. They discuss meaningful engagement to support assessment, management, and disclosure of nature-related dependencies, impacts, risks and opportunities. ",Engaging Indigenous Peoples and Local Communities; Nature Finance,Global,English
Practical Guidelines on Working with Indigenous And Local Knowledge in National Ecosystem Assessments,UNESCO,https://www.ecosystemassessments.net/content/uploads/2022/03/Practical-Guide-ILK-ENG.pdf,2022.0,A set of guiding principles for working with ILK in National Ecosystem Assessments. This resource recognises the vital contributions to conservation and biodiversity made by IPLC and supports the 'Multiple Evidence Base Approach' to recognise the value of multiple knowledge systems. ,Guidance; Indigenous and Local Knowledge; Ecosystem Assessments,Global,English
"Akwé: Kon Voluntary Guidelines for the Conduct of Cultural, Environmental and Social Impact Assessment regarding Developments Proposed to Take Place on, or which are Likely to Impact on, Sacred Sites and on Lands and Waters Traditionally Occupied or Used by Indigenous and Local Communities",Secretariat of the Convention on Biological Diversity,https://www.cbd.int/doc/publications/akwe-brochure-en.pdf,2004.0,"""Voluntary guidelines for the conduct of cultural, environmental and social impact assessments regarding developments proposed to take place on, or which are likely to impact on, sacred sites and on lands and waters traditionally occupied or used by indigenous and local communities""","Guidance; Indigenous and Local Communities; Cultural, Environmental, and Social Impact Assessments",Global,English
Application of Indigenous & Local Knowledge (ILK) in IUCN Red List assessments,IUCN,https://www.iucnredlist.org/resources/ilk,2022.0,This document outlines key steps and principles of including ILK in IUCN Red List assessments. ,Indigenous and Local Knowledge; IUCN Red List Assessments,Global,English; Spanish; French
