Programme,Call serial number,Call start date,Call end date
2021 - 2027 Interreg VI-B Baltic Sea Region,C1,2022-02-08,2022-04-26
2021 - 2027 Interreg VI-B Baltic Sea Region,C2,2022-10-20,2023-03-14
2021 - 2027 Interreg VI-B Baltic Sea Region,C3.1,2023-07-17,2023-10-05
2021 - 2027 Interreg VI-B Baltic Sea Region,C3.2,2024-01-17,2024-06-21
2021 - 2027 Interreg VI-B Baltic Sea Region,P1,2024-06-26,2024-12-09
2021 - 2027 Interreg VI-B Baltic Sea Region,S1,2022-02-08,2022-03-30
2021 - 2027 Interreg VI-B Baltic Sea Region,S2,2022-10-20,2023-01-26
