Authors,Count
ADAMCZYK A,2
BARTLOMIEJSKI R,6
BARTLOMIEJSKI ROBERT,2
BARTOMIEJSKI R,2
Bartłomiejska I,1
Bartłomiejski R,7
Guźniczak C,1
KOWALEWSKA D,5
KOWALEWSKI M,5
KOWALEWSKI MACIEJ,2
MACIEJ KOWALEWSKI,1
ROBERT BARTLOMIEJSKI,1
SZCZECINSKI U,1
Stempiński S,1
TROJANOWSKA-STRZEBOSZEWSKA M,1
TROJANOWSKASTRZBOSZEWSKA M,1
