column,dtype,non_null,null
Indicator 3: Internal and external organisations supplying/approached to supply data and data products since start of the project phase,object,233,3
Unnamed: 1,object,220,16
Unnamed: 2,object,218,18
Unnamed: 3,object,216,20
Unnamed: 4,object,218,18
Unnamed: 5,object,218,18
Unnamed: 6,object,218,18
Unnamed: 7,object,218,18
Unnamed: 8,object,218,18
Unnamed: 9,object,218,18
Unnamed: 10,object,218,18
Unnamed: 11,object,11,225
Unnamed: 12,object,4,232
