column,dtype,non_null,null
Case Study Id,int64,2,0
Institution,object,2,0
Unit of Assessment,object,2,0
Title,object,2,0
Summary of the impact,object,2,0
Underpinning research,object,2,0
References to the research,object,2,0
Details of the impact,object,2,0
Sources to corroborate the impact ,object,2,0
