sector,sector_label,axis_group,axis_code,observed_evidence_count,expected_evidence_count,adjusted_standardized_residual,raw_cell_p,holm_p,bh_p,holm_significant_0_05,bh_significant_0_05,cell_status
maritime_transport,Maritime Transport,MARINE,M,0,19.7402862986,-5.24141714908,1.59348021691e-07,4.46174460734e-06,3.64224049578e-07,True,True,empty_current_linked_corpus
maritime_transport,Maritime Transport,MARITIME,T,81,40.282208589,8.81279876225,1.22059543916e-18,4.76032221273e-17,5.85885810797e-18,True,True,observed_linked_evidence
maritime_transport,Maritime Transport,OCEANIC,O,17,29.5603271984,-2.91429493439,0.0035649293316,0.0427791519792,0.00462477318694,True,True,observed_linked_evidence
maritime_transport,Maritime Transport,HYDRONIZATION,H,0,8.41717791411,-3.19898359392,0.0013791301685,0.0206869525275,0.0019470072967,True,True,empty_current_linked_corpus
port_activities,Port Activities,MARINE,M,0,18.3302658487,-5.03078676589,4.88471178821e-07,1.22117794705e-05,9.76942357643e-07,True,True,empty_current_linked_corpus
port_activities,Port Activities,MARITIME,T,82,37.4049079755,9.97673811445,1.92697585516e-23,7.90060100614e-22,1.15618551309e-22,True,True,observed_linked_evidence
port_activities,Port Activities,OCEANIC,O,9,27.4488752556,-4.42460301166,9.66197923099e-06,0.000212563543082,1.71768519662e-05,True,True,observed_linked_evidence
port_activities,Port Activities,HYDRONIZATION,H,0,7.81595092025,-3.07042997549,0.00213750802567,0.0277876043338,0.0028500107009,True,True,empty_current_linked_corpus
r_i,R&I,MARINE,M,0,14.9059304703,-4.49374752118,6.99805935416e-06,0.000160955365146,1.29194941923e-05,True,True,empty_current_linked_corpus
r_i,R&I,MARITIME,T,0,30.4171779141,-7.47485645229,7.7288174334e-14,2.78237427602e-12,2.85371720618e-13,True,True,empty_current_linked_corpus
r_i,R&I,OCEANIC,O,74,22.3210633947,13.6144598616,3.28565901179e-42,1.44568996519e-40,3.15423265132e-41,True,True,observed_linked_evidence
r_i,R&I,HYDRONIZATION,H,0,6.35582822086,-2.74265989266,0.00609437713665,0.0609437713665,0.00750077186049,False,True,empty_current_linked_corpus
ship_repair,Ship Repair,MARINE,M,0,4.02862985685,-2.26939067933,0.0232445784936,0.162712049455,0.0265652325641,False,True,empty_current_linked_corpus
ship_repair,Ship Repair,MARITIME,T,10,8.22085889571,0.816952215826,0.413955736005,0.82791147201,0.422763304856,False,False,observed_linked_evidence
ship_repair,Ship Repair,OCEANIC,O,10,6.0327198364,1.9529091525,0.0508303609986,0.304982165991,0.0567408680914,False,False,observed_linked_evidence
ship_repair,Ship Repair,HYDRONIZATION,H,0,1.71779141104,-1.38507265209,0.166030253249,0.664121012995,0.177098936799,False,False,empty_current_linked_corpus
