Sector,Required,Available,Missing,Gap %,Missing MARINE,Missing MARITIME,Missing OCEANIC
Blue Biotech,367,15,352,95.9,37,20,295
Coastal Tourism,379,15,364,96.0,25,37,301
Desalination,313,15,298,95.2,6,20,250
Infra & Robotics,303,15,288,95.0,3,48,207
Living Res.,419,15,404,96.4,58,40,306
Non-living Res.,361,15,346,95.8,32,19,294
Renewable Energy,321,15,306,95.3,16,27,263
Maritime Defence,337,15,322,95.5,3,100,219
Maritime Transport,411,15,396,96.4,3,167,226
Port Activities,390,15,375,96.2,4,184,178
R&I,381,15,366,96.1,43,30,293
Ship Repair,357,15,342,95.8,3,78,260
