run_id,run_path,timestamp_utc,manifest_timestamp_utc,dataset,record_index,dedupe_value,dedupe_field_used,doi,source_id,title,record_origin,axis_name
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,903,10.1002/9781119014492.ch11,doi,10.1002/9781119014492.ch11,crossref:10.1002/9781119014492.ch11,The Economics of Wave and Tidal Energy,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1372,10.1002/9781119014492.ch3,doi,10.1002/9781119014492.ch3,crossref:10.1002/9781119014492.ch3,Wave Energy Technology,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,906,10.1002/9781119014492.ch3,doi,10.1002/9781119014492.ch3,crossref:10.1002/9781119014492.ch3,Wave Energy Technology,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,906,10.1002/9781119014492.ch3,doi,10.1002/9781119014492.ch3,crossref:10.1002/9781119014492.ch3,Wave Energy Technology,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1382,10.1002/9781119014492.ch4,doi,10.1002/9781119014492.ch4,crossref:10.1002/9781119014492.ch4,Tidal Energy Technology,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,916,10.1002/9781119014492.ch4,doi,10.1002/9781119014492.ch4,crossref:10.1002/9781119014492.ch4,Tidal Energy Technology,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,916,10.1002/9781119014492.ch4,doi,10.1002/9781119014492.ch4,crossref:10.1002/9781119014492.ch4,Tidal Energy Technology,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1366,10.1002/9781119014492.epil,doi,10.1002/9781119014492.epil,crossref:10.1002/9781119014492.epil,Epilogue: The Future of Wave and Tidal Energy,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,900,10.1002/9781119014492.epil,doi,10.1002/9781119014492.epil,crossref:10.1002/9781119014492.epil,Epilogue: The Future of Wave and Tidal Energy,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,900,10.1002/9781119014492.epil,doi,10.1002/9781119014492.epil,crossref:10.1002/9781119014492.epil,Epilogue: The Future of Wave and Tidal Energy,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1090,10.1002/9781119075806.ch1,doi,10.1002/9781119075806.ch1,crossref:10.1002/9781119075806.ch1,From Marine Protected Areas to MPA Networks,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,624,10.1002/9781119075806.ch1,doi,10.1002/9781119075806.ch1,crossref:10.1002/9781119075806.ch1,From Marine Protected Areas to MPA Networks,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,624,10.1002/9781119075806.ch1,doi,10.1002/9781119075806.ch1,crossref:10.1002/9781119075806.ch1,From Marine Protected Areas to MPA Networks,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1101,10.1002/9781119075806.ch5,doi,10.1002/9781119075806.ch5,crossref:10.1002/9781119075806.ch5,Marine Protected Areas as Spatial Protection Measures under the Marine Strategy Framework Directive,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,635,10.1002/9781119075806.ch5,doi,10.1002/9781119075806.ch5,crossref:10.1002/9781119075806.ch5,Marine Protected Areas as Spatial Protection Measures under the Marine Strategy Framework Directive,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,635,10.1002/9781119075806.ch5,doi,10.1002/9781119075806.ch5,crossref:10.1002/9781119075806.ch5,Marine Protected Areas as Spatial Protection Measures under the Marine Strategy Framework Directive,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,2042,10.1002/9781119202912.ch3,doi,10.1002/9781119202912.ch3,crossref:10.1002/9781119202912.ch3,Supply Chain Metrics: Measuring Up to High Standards,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,1576,10.1002/9781119202912.ch3,doi,10.1002/9781119202912.ch3,crossref:10.1002/9781119202912.ch3,Supply Chain Metrics: Measuring Up to High Standards,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,1576,10.1002/9781119202912.ch3,doi,10.1002/9781119202912.ch3,crossref:10.1002/9781119202912.ch3,Supply Chain Metrics: Measuring Up to High Standards,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,535,10.1002/9781119451396.app1,doi,10.1002/9781119451396.app1,crossref:10.1002/9781119451396.app1,Classical Marine Bioprospecting: Biochemistry and Genetic Engineering,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,69,10.1002/9781119451396.app1,doi,10.1002/9781119451396.app1,crossref:10.1002/9781119451396.app1,Classical Marine Bioprospecting: Biochemistry and Genetic Engineering,,
