run_id,run_path,timestamp_utc,manifest_timestamp_utc,live_records_count,triangulated_records_count,cumulative_qmbd_records_count,evidence_rows_total,evidence_rows_dedupable,unique_dedupe_values
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,1592,1592,2058,5242,5242,2052
28967267944.2,runs/28967267944.2,2026-07-08T19:07:59+00:00,2026-07-08T19:07:59+00:00,1592,1592,2058,5242,5242,2052
