run_pk,run_id,run_path,timestamp_utc,analysis_input_mode_code,analysis_input_mode_label,is_static_recovery_mode_code,is_static_recovery_mode_label,workflow_event_code,workflow_event_label,provider_set,commit_sha,github_run_id
run_pk_28625632237-1,28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,-98,Not extracted,-98,Not extracted,-98,Not extracted,,bda107a9fa8092d4c9e02bb98c5173dad7f839f1,
run_pk_28967267944.2,28967267944.2,runs/28967267944.2,2026-07-08T19:07:59+00:00,-98,Not extracted,-98,Not extracted,-98,Not extracted,,bda107a9fa8092d4c9e02bb98c5173dad7f839f1,
