occurrence_pk,record_pk,run_pk,bundle_pk,dataset_code,dataset_label,provider_code,provider_label,occurrence_type_code,occurrence_type_label,timestamp_utc
occ_pk_28967267944.2_live_records_triangulated_111,record_pk_5084a1f0452d3a02,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_1698,record_pk_77f2c9029d2d57fd,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_1232,record_pk_77f2c9029d2d57fd,run_pk_28625632237-1,,1,live_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_triangulated_1232,record_pk_77f2c9029d2d57fd,run_pk_28625632237-1,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28967267944.2_cumulative_qmbd_records_1698,record_pk_77f2c9029d2d57fd,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_1232,record_pk_77f2c9029d2d57fd,run_pk_28967267944.2,,1,live_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_triangulated_1232,record_pk_77f2c9029d2d57fd,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_1369,record_pk_76186bf09df24f9e,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_903,record_pk_76186bf09df24f9e,run_pk_28625632237-1,,1,live_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_triangulated_903,record_pk_76186bf09df24f9e,run_pk_28625632237-1,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28967267944.2_cumulative_qmbd_records_1369,record_pk_76186bf09df24f9e,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_903,record_pk_76186bf09df24f9e,run_pk_28967267944.2,,1,live_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_triangulated_903,record_pk_76186bf09df24f9e,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_1372,record_pk_a4af7484a4e5bd6b,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_906,record_pk_a4af7484a4e5bd6b,run_pk_28625632237-1,,1,live_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_triangulated_906,record_pk_a4af7484a4e5bd6b,run_pk_28625632237-1,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28967267944.2_cumulative_qmbd_records_1372,record_pk_a4af7484a4e5bd6b,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_906,record_pk_a4af7484a4e5bd6b,run_pk_28967267944.2,,1,live_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_triangulated_906,record_pk_a4af7484a4e5bd6b,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_1382,record_pk_3f413ae7ae62b00e,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_916,record_pk_3f413ae7ae62b00e,run_pk_28625632237-1,,1,live_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_triangulated_916,record_pk_3f413ae7ae62b00e,run_pk_28625632237-1,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28967267944.2_cumulative_qmbd_records_1382,record_pk_3f413ae7ae62b00e,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_916,record_pk_3f413ae7ae62b00e,run_pk_28967267944.2,,1,live_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_triangulated_916,record_pk_3f413ae7ae62b00e,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_1366,record_pk_f4d212615cb55f9f,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_900,record_pk_f4d212615cb55f9f,run_pk_28625632237-1,,1,live_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_triangulated_900,record_pk_f4d212615cb55f9f,run_pk_28625632237-1,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28967267944.2_cumulative_qmbd_records_1366,record_pk_f4d212615cb55f9f,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_900,record_pk_f4d212615cb55f9f,run_pk_28967267944.2,,1,live_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_triangulated_900,record_pk_f4d212615cb55f9f,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_1090,record_pk_76a12501d5825516,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
